CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Indigenous identity: total count,Indigenous identity: Indigenous identity count,Visible minority: total counts,Visible minority: Total visible minority population,Indigenous identity: Indigenous identity count (%),Visible minority: Total visible minority population (%),Number of Men (%),Men in Workforce (%)
1001485,27168.0,26199.0,454.9,59.72,3.7,13295.0,7350.0,14495.0,11364.0,10553.0,10711.0,9934.0,2.5,7.7,7.8,26750.0,950.0,26750.0,275.0,3.55,1.03,48.94,50.71
1001542,22477.0,23120.0,1436.2,15.65,-2.8,10810.0,5970.0,11875.0,10685.0,10381.0,9931.0,9673.0,2.3,2.9,2.7,22355.0,655.0,22355.0,510.0,2.93,2.28,48.09,50.27
1001517,22957.0,21389.0,773.8,29.67,7.3,11215.0,6725.0,13460.0,9331.0,8662.0,8813.0,8038.0,2.6,7.7,9.6,22800.0,855.0,22800.0,345.0,3.75,1.51,48.85,49.96
1005017,1606.0,1632.0,655.1,2.45,-1.6,790.0,495.0,980.0,670.0,624.0,626.0,610.0,2.6,7.4,2.6,,,,,,,49.19,50.51
1103014,1812.0,1619.0,571.6,3.17,11.9,845.0,,,897.0,781.0,865.0,747.0,2.1,14.9,15.8,,,,,,,46.63,
1103025,16001.0,14839.0,567.2,28.21,7.8,7590.0,,,7393.0,6953.0,7097.0,6532.0,2.2,6.3,8.6,,,15545.0,1390.0,,8.94,47.43,
1102075,38809.0,36094.0,876.6,44.27,7.5,18645.0,,,18364.0,17193.0,17184.0,16100.0,2.2,6.8,6.7,,,37600.0,8185.0,,21.77,48.04,
1102080,10927.0,9711.0,482.0,22.67,12.5,5285.0,,,4667.0,4099.0,4307.0,3820.0,2.5,13.9,12.7,,,10850.0,1565.0,,14.42,48.37,
1214002,4656.0,4364.0,934.5,4.98,6.7,2130.0,,,2675.0,2596.0,2205.0,1997.0,2.0,3.0,10.4,,,,,,,45.75,
1211011,9404.0,9413.0,779.4,12.07,-0.1,4420.0,,,4799.0,4745.0,4480.0,4372.0,2.1,1.1,2.5,,,9245.0,460.0,,4.98,47.0,
1203006,2001.0,2060.0,634.0,3.16,-2.9,900.0,,,1133.0,1145.0,1030.0,1036.0,1.8,-1.0,-0.6,,,,,,,44.98,
1207024,5057.0,4195.0,783.3,6.46,20.5,2330.0,,,2856.0,2585.0,2441.0,1972.0,2.0,10.5,23.8,,,4855.0,615.0,,12.67,46.07,
1206004,8790.0,8532.0,644.9,13.63,3.0,4070.0,,,4493.0,4299.0,4260.0,4077.0,2.0,4.5,4.5,,,8495.0,450.0,,5.3,46.3,
1206006,2396.0,2263.0,593.3,4.04,5.9,1065.0,,,1242.0,1206.0,1089.0,1040.0,2.0,3.0,4.7,,,,,,,44.45,
1212014,9471.0,9075.0,951.3,9.96,4.4,4385.0,,,4782.0,4640.0,4445.0,4208.0,2.1,3.1,5.6,,,9195.0,905.0,,9.84,46.3,
1212009,4007.0,4208.0,445.6,8.99,-4.8,1885.0,,,2017.0,2018.0,1881.0,1880.0,2.1,0.0,0.1,,,,,,,47.04,
1202006,6829.0,6518.0,646.3,10.57,4.8,3105.0,,,3569.0,3470.0,3259.0,3116.0,2.0,2.9,4.6,,,6625.0,560.0,,8.45,45.47,
1306020,20584.0,19667.0,603.7,34.1,4.7,9870.0,,,8797.0,8537.0,8651.0,8224.0,2.4,3.0,5.2,,,20295.0,1310.0,,6.45,47.95,
1305022,4440.0,4282.0,498.9,8.9,3.7,2050.0,,,2219.0,2147.0,2065.0,1988.0,2.1,3.4,3.9,,,,,,,46.17,
1314022,2141.0,2194.0,504.7,4.24,-2.4,1065.0,,,1015.0,989.0,976.0,965.0,2.1,2.6,1.1,,,,,,,49.74,
1303012,9045.0,9223.0,404.5,22.36,-1.9,4750.0,,,3897.0,3900.0,3663.0,3459.0,2.5,-0.1,5.9,,,8980.0,335.0,,3.73,52.52,
1307022,79470.0,71889.0,564.9,140.67,10.5,38720.0,,,37318.0,35380.0,35118.0,32135.0,2.2,5.5,9.3,,,77405.0,11545.0,,14.92,48.72,
1310032,63116.0,58721.0,471.3,133.93,7.5,30205.0,,,29892.0,28632.0,28478.0,26147.0,2.2,4.4,8.9,,,61835.0,8660.0,,14.01,47.86,
2476055,1816.0,1711.0,644.6,2.82,6.1,895.0,,,951.0,862.0,903.0,792.0,2.0,10.3,14.0,,,,,,,49.28,
2439062,47760.0,46130.0,566.4,84.33,3.5,23055.0,,,23106.0,21380.0,21864.0,20674.0,2.1,8.1,5.8,,,45380.0,1750.0,,3.86,48.27,
2446035,2558.0,2560.0,604.3,4.23,-0.1,1225.0,,,1324.0,1281.0,1233.0,1209.0,2.0,3.4,2.0,,,,,,,47.89,
2452035,4386.0,4189.0,647.8,6.77,4.7,2090.0,,,2225.0,2126.0,2166.0,1990.0,1.9,4.7,8.8,,,,,,,47.65,
2452080,2803.0,2640.0,998.6,2.81,6.2,1365.0,,,1502.0,1512.0,1366.0,1281.0,1.9,-0.7,6.6,,,,,,,48.7,
2472010,17915.0,17496.0,2947.8,6.08,2.4,8765.0,,,7463.0,7240.0,7266.0,7093.0,2.4,3.1,2.4,,,17600.0,1950.0,,11.08,48.93,
2472020,6281.0,6428.0,1367.7,4.59,-2.3,3215.0,,,2673.0,2696.0,2590.0,2618.0,2.4,-0.9,-1.1,,,6280.0,200.0,,3.18,51.19,
