CSDNAME,CSDUID,visible minority population  (%)
"Algoma, Unorganized, North Part (3557095) NO",3557095,0.7513
Sault Ste. Marie (3557061) CY,3557061,4.5381
Elliot Lake (3557041) CY,3557041,2.6281
Kapuskasing (3556066) T,3556066,3.3396
Cochrane (3556042) T,3556042,1.9774
Timmins (3556027) CY,3556027,4.3414
Kirkland Lake (3554068) T,3554068,4.1114
Temiskaming Shores (3554020) CY,3554020,3.1049
Greater Sudbury / Grand Sudbury (3553005) CV,3553005,6.6368
Espanola (3552026) T,3552026,3.2321
Parry Sound (3549032) T,3549032,5.2713
Seguin (3549003) TP,3549003,1.7672
West Nipissing / Nipissing Ouest (3548055) M,3548055,1.6836
North Bay (3548044) CY,3548044,4.3626
Petawawa (3547076) T,3547076,6.2446
Laurentian Valley (3547075) TP,3547075,2.3822
Pembroke (3547064) CY,3547064,3.5557
Whitewater Region (3547056) TP,3547056,1.622
Renfrew (3547048) T,3547048,1.3367
McNab/Braeside (3547003) TP,3547003,1.1206
Arnprior (3547002) T,3547002,4.1954
Dysart et al (3546024) MU,3546024,1.7768
Minden Hills (3546015) TP,3546015,2.8343
Muskoka Lakes (3544053) TP,3544053,1.3175
Huntsville (3544042) T,3544042,3.232
Bracebridge (3544018) T,3544018,3.0122
Gravenhurst (3544002) T,3544002,3.0915
Midland (3543074) T,3543074,5.2904
Penetanguishene (3543072) T,3543072,2.7886
Tay (3543071) TP,3543071,1.0919
Tiny (3543068) TP,3543068,2.8202
Wasaga Beach (3543064) T,3543064,5.2064
Orillia (3543052) CY,3543052,7.3753
Barrie (3543042) CY,3543042,17.092
Collingwood (3543031) T,3543031,6.8589
Oro-Medonte (3543023) TP,3543023,3.0277
Essa (3543021) TP,3543021,9.8289
Ramara (3543019) TP,3543019,3.2803
Innisfil (3543017) T,3543017,14.6412
Severn (3543015) TP,3543015,2.5146
Bradford West Gwillimbury (3543014) T,3543014,31.0736
Springwater (3543009) TP,3543009,5.5195
New Tecumseth (3543007) T,3543007,18.1086
Clearview (3543005) TP,3543005,3.4211
Adjala-Tosorontio (3543003) TP,3543003,6.7549
Owen Sound (3542059) CY,3542059,5.7623
Georgian Bluffs (3542053) TP,3542053,2.6244
Meaford (3542047) MU,3542047,3.6677
The Blue Mountains (3542045) T,3542045,3.3871
Chatsworth (3542037) TP,3542037,2.2857
Hanover (3542029) T,3542029,3.211
Grey Highlands (3542015) MU,3542015,1.8384
Southgate (3542005) TP,3542005,11.9908
West Grey (3542004) MU,3542004,2.3471
South Bruce Peninsula (3541055) T,3541055,1.9597
Saugeen Shores (3541045) T,3541045,7.6407
Arran-Elderslie (3541043) MU,3541043,1.6272
Brockton (3541032) MU,3541032,2.0376
Kincardine (3541024) MU,3541024,6.5091
Huron-Kinloss (3541015) TP,3541015,1.3907
South Bruce (3541004) MU,3541004,0.682
Ashfield-Colborne-Wawanosh (3540063) TP,3540063,1.1092
North Huron (3540055) TP,3540055,3.3865
Huron East (3540040) MU,3540040,2.1471
Goderich (3540028) T,3540028,2.8664
Central Huron (3540025) MU,3540025,1.8954
Bluewater (3540010) MU,3540010,1.0717
South Huron (3540005) MU,3540005,2.9427
Lucan Biddulph (3539060) TP,3539060,2.4911
North Middlesex (3539041) MU,3539041,2.1173
London (3539036) CY,3539036,28.6716
Middlesex Centre (3539033) MU,3539033,6.1399
Thames Centre (3539027) MU,3539027,2.6344
Strathroy-Caradoc (3539015) MU,3539015,2.973
Southwest Middlesex (3539005) MU,3539005,1.7182
Lambton Shores (3538040) MU,3538040,1.9489
Plympton-Wyoming (3538035) T,3538035,2.9502
Sarnia (3538030) CY,3538030,8.3251
Petrolia (3538019) T,3538019,2.4076
St. Clair (3538003) TP,3538003,1.8095
Lakeshore (3537064) T,3537064,11.0379
Tecumseh (3537048) T,3537048,11.2994
Windsor (3537039) CY,3537039,33.5637
LaSalle (3537034) T,3537034,18.8145
Amherstburg (3537028) T,3537028,5.5997
Essex (3537016) T,3537016,4.6467
Kingsville (3537013) T,3537013,5.1911
Leamington (3537003) MU,3537003,20.1952
Chatham-Kent (3536020) MU,3536020,6.5789
West Elgin (3534042) MU,3534042,2.8112
St. Thomas (3534021) CY,3534021,7.1005
Central Elgin (3534020) MU,3534020,3.0848
Aylmer (3534011) T,3534011,3.086
Malahide (3534010) TP,3534010,1.6875
Bayham (3534005) MU,3534005,1.9788
Blandford-Blenheim (3532045) TP,3532045,2.9139
Woodstock (3532042) CY,3532042,13.6888
East Zorra-Tavistock (3532038) TP,3532038,4.0444
Zorra (3532027) TP,3532027,2.5058
Ingersoll (3532018) T,3532018,5.5371
South-West Oxford (3532012) TP,3532012,2.3133
Tillsonburg (3532004) T,3532004,5.6573
Norwich (3532002) TP,3532002,2.1143
North Perth (3531040) MU,3531040,6.5866
Perth East (3531030) TP,3531030,0.9685
West Perth (3531025) MU,3531025,3.0864
St. Marys (3531016) T,3531016,4.5265
Stratford (3531011) CY,3531011,8.0191
Woolwich (3530035) TP,3530035,9.4343
Wellesley (3530027) TP,3530027,2.2095
Wilmot (3530020) TP,3530020,4.3304
Waterloo (3530016) CY,3530016,35.0241
Kitchener (3530013) CY,3530013,31.6689
Cambridge (3530010) CY,3530010,23.866
North Dumfries (3530004) TP,3530004,6.6761
Brantford (3529006) CY,3529006,15.29
Brant (3529005) CY,3529005,6.6934
Norfolk County (3528052) CY,3528052,3.3598
Haldimand County (3528018) CY,3528018,5.3639
Grimsby (3526065) T,3526065,9.713
Lincoln (3526057) T,3526057,7.1572
St. Catharines (3526053) CY,3526053,16.537
Niagara-on-the-Lake (3526047) T,3526047,12.5914
Niagara Falls (3526043) CY,3526043,20.8979
Thorold (3526037) CY,3526037,18.657
Welland (3526032) CY,3526032,8.6668
Pelham (3526028) T,3526028,5.4745
West Lincoln (3526021) TP,3526021,3.8948
Wainfleet (3526014) TP,3526014,1.7518
Port Colborne (3526011) CY,3526011,2.757
Fort Erie (3526003) T,3526003,7.8462
Hamilton (3525005) C,3525005,25.1284
Halton Hills (3524015) T,3524015,13.558
Milton (3524009) T,3524009,55.1891
Burlington (3524002) CY,3524002,20.8687
Oakville (3524001) T,3524001,42.5008
Wellington North (3523050) TP,3523050,3.6349
Minto (3523043) T,3523043,4.4332
Mapleton (3523033) TP,3523033,1.6159
Centre Wellington (3523025) TP,3523025,5.1558
Erin (3523017) T,3523017,9.205
Guelph/Eramosa (3523009) TP,3523009,9.0611
Guelph (3523008) CY,3523008,25.3402
Puslinch (3523001) TP,3523001,13.3375
Shelburne (3522021) T,3522021,30.0795
Orangeville (3522014) T,3522014,14.3819
Mono (3522012) T,3522012,17.556
Caledon (3521024) T,3521024,32.8821
Brampton (3521010) CY,3521010,80.5732
Mississauga (3521005) CY,3521005,61.9332
Toronto (3520005) C,3520005,55.6728
Georgina (3519070) T,3519070,12.6459
East Gwillimbury (3519054) T,3519054,30.0073
King (3519049) TP,3519049,18.4157
Newmarket (3519048) T,3519048,34.9016
Aurora (3519046) T,3519046,38.9201
Whitchurch-Stouffville (3519044) T,3519044,46.262
Richmond Hill (3519038) T,3519038,66.4211
Markham (3519036) CY,3519036,82.1008
Vaughan (3519028) CY,3519028,41.285
Brock (3518039) TP,3518039,4.6304
Uxbridge (3518029) TP,3518029,8.0355
Scugog (3518020) TP,3518020,5.2162
