GEO,CSDUID,Indigenous identity,Single Indigenous responses,First Nations,Métis,Inuit,Multiple Indigenous responses,Indigenous responses nie,Non-Indigenous identity
Woodstock,1008096,12.8,12.8,10.3,0,0,0,0,87.2
Miles Cove,1008098,15,0,0,0,0,0,0,85
Fogo Island,1008099,4.8,4.8,2.2,2.2,0.7,0,0,95.2
"Division No.  9, Subd. F",1009001,0,0,0,0,0,0,0,83.3
Englee,1009004,0,0,0,0,0,0,0,100
Roddickton-Bide Arm,1009007,9.8,9.3,3.8,1.1,3.8,0,0,89.6
Conche,1009008,10.7,10.7,7.1,0,0,0,0,89.3
"Division No.  9, Subd. A",1009009,0,0,0,0,0,0,0,100
Trout River,1009010,8.6,8.6,8.6,0,0,0,0,90.5
"Woody Point, Bonne Bay",1009011,11.3,11.3,11.3,0,0,0,0,87.1
Norris Point,1009012,12.8,10.4,9.6,0,0,0,0,87.2
Rocky Harbour,1009013,12.8,12.3,10.7,1.1,0,0,0,86.6
Daniel's Harbour,1009015,21.6,19.6,11.8,7.8,0,0,0,78.4
Cow Head,1009016,21.7,20.5,18.1,2.4,0,0,0,78.3
Parson's Pond,1009017,16.9,16.9,16.9,0,0,0,0,83.1
Hawke's Bay,1009018,10.9,10.9,0,0,0,0,0,89.1
Port Saunders,1009019,22.8,22.8,20.9,0,0,0,0,77.2
St. Pauls,1009020,18.2,15.2,15.2,0,0,0,0,81.8
"Division No.  9, Subd. C",1009021,11.5,10.1,7.9,2,0,0,1.1,88.5
Port au Choix,1009022,15.4,14.1,10.9,0,1.9,0,0,85.3
Anchor Point,1009023,0,0,0,0,0,0,0,98.4
Flower's Cove,1009024,9.5,0,0,0,0,0,0,88.1
Bird Cove,1009026,9.4,9.4,9.4,0,0,0,0,87.5
Main Brook,1009028,13,13,0,5.6,0,0,0,87
St. Anthony,1009029,6.7,6,1,3.4,1.4,0,0.7,93.3
Glenburnie-Birchy Head-Shoal Brook,1009030,10,10,5,0,0,0,0,92.5
"Division No.  9, Subd. D",1009031,2.9,2.9,0,0,0,0,0,96.2
St. Lunaire-Griquet,1009032,7.7,7.7,0,5.6,1.4,0,0,93
Cook's Harbour,1009034,0,0,0,0,0,0,0,91.7
Raleigh,1009035,0,0,0,0,0,0,0,100
Sally's Cove,1009037,,,,,,,,
Goose Cove East,1009039,0,0,0,0,0,0,0,100
"Division No.  9, Subd. H",1009041,26.1,26.1,17.4,0,0,0,0,78.3
Bellburns,1009042,0,0,0,0,0,0,0,80
