GEO,CSDUID,Indigenous identity,Single Indigenous responses,First Nations,Métis,Inuit,Multiple Indigenous responses,Indigenous responses nie,Non-Indigenous identity
Red Lake,3560042,23.6,23,14.2,8.7,0,0.6,0,76.4
Slate Falls,3560046,100,96.5,96.5,0,0,0,0,0
Pickle Lake,3560049,55,55,50,5,0,0,0,43.8
Fort Albany (Part) 67,3560050,,,,,,,,
Attawapiskat 91A,3560051,97.8,95.3,95.3,0,0,0,2.8,2.2
Marten Falls 65,3560052,100,98,98,0,0,0,0,0
Fort Hope 64,3560053,99,99,99,0,0,0,0,0
Cat Lake 63C,3560054,98.5,90.8,90.8,0,0,0,7.7,1.5
Osnaburgh 63B,3560055,100,100,100,0,0,0,0,0
Lac Seul 28,3560056,97.6,96.6,96.6,0,0,0,1,2.4
Wabigoon Lake 27,3560057,91.4,94.3,91.4,0,0,0,0,8.6
English River 21,3560058,100,100,100,0,0,0,0,1.7
Weagamow Lake 87,3560059,99.5,97.8,97.8,0,0,0,1.6,1.1
Northwest Angle 33B,3560060,100,100,100,0,0,0,0,0
Wabaseemoong,3560061,98.8,98.2,98.2,0,0,0,1.2,0
Sabaskong Bay 35D,3560063,100,100,100,0,0,0,0,0
Shoal Lake 34B2,3560064,100,100,100,0,0,0,0,0
Lake of the Woods 37,3560065,100,100,100,0,0,0,0,0
Kenora 38B,3560066,97.5,97.5,97.5,0,0,0,0,2.5
Poplar Hill,3560067,99.2,99.2,99.2,0,0,0,0,1.5
Shoal Lake 39A,3560068,97.8,97.8,96.6,0,0,0,0,2.2
Rat Portage 38A,3560069,76.5,73.5,73.5,0,0,0,0,23.5
Deer Lake,3560070,98.2,98.2,98.2,0,0,0,0,1.8
Sandy Lake 88,3560071,99.5,99.3,99,0.5,0,0,0.5,0.7
Kitchenuhmaykoosib Aaki 84,3560075,99.5,99,99,0,0,0,1,0
Sachigo Lake 1,3560076,99.2,99.2,99.2,0,0,0,0,0
Pikangikum 14,3560077,,,,,,,,
Fort Severn 89,3560078,98.6,95.9,95.9,0,0,0,2.7,0
Webequie,3560079,100,100,100,0,0,0,0,0
North Spirit Lake,3560080,98.1,98.1,98.1,0,0,0,0,0
Lansdowne House,3560081,,,,,,,,
Shoal Lake (Part) 40,3560082,100,100,100,0,0,0,0,0
Whitefish Bay 34A,3560083,100,100,100,0,0,0,0,0
Wabauskang 21,3560084,100,100,91.7,0,0,0,0,0
Wunnumin 1,3560085,99.2,98.3,98.3,0,0,0,0,1.7
Summer Beaver,3560086,100,100,100,0,0,0,0,0
Wapekeka 2,3560088,100,100,100,0,0,0,0,0
The Dalles 38C,3560089,97.2,91.7,91.7,0,0,5.6,5.6,0
"Kenora, Unorganized",3560090,22.2,21.2,10.1,11,0,0.6,0.3,77.8
Peawanuck,3560091,91.8,91.8,89.8,0,0,0,0,8.2
Neskantaga,3560093,100,100,100,0,0,0,0,0
Bearskin Lake,3560095,100,100,100,0,0,0,0,0
Kasabonika Lake,3560096,99.1,97.6,97.6,0,0,0,1.4,0.9
Muskrat Dam Lake,3560097,,,,,,,,
Kingfisher Lake 1,3560098,100,100,100,0,0,0,0,0
Wawakapewin,3560100,,,,,,,,
Kee-Way-Win,3560104,100,98.8,98.8,0,0,0,0,0
Stuartburn,4601035,12.2,11.2,2.1,9.1,0,0,0,88.1
Piney,4601039,22.7,22.7,6.3,16.4,0,0,0,77.3
Reynolds,4601043,10.3,10,1.4,8.2,0,0.7,0,89.3
Whitemouth,4601046,11.5,11.5,4.4,7.1,0,0,0,88.5
Pinawa,4601051,6.6,6.6,2,4.6,0,0,0,93.4
Lac du Bonnet,4601057,17.9,17.6,2.5,14.8,0,0.3,0,82.1
Lac du Bonnet,4601060,26.1,26.1,7,19.5,0,0,0,73.5
Buffalo Point 36,4601070,36.4,34.1,22.7,9.1,0,0,0,63.6
Alexander,4601071,25.8,25.7,9.7,16.1,0,0,0,74
Powerview-Pine Falls,4601075,58.6,57.4,28.7,29.1,0,1.2,0,41.4
Victoria Beach,4601078,14.1,14.1,0,11.8,0,0,0,85.9
Shoal Lake (Part) 40,4601079,,,,,,,,
"Division No.  1, Unorganized",4601094,5.7,5.3,1.2,4.1,0,0,0,93.9
Emerson-Franklin,4602024,12.3,12.3,3.3,9,0,0,0,87.4
Roseau Rapids 2A,4602026,100,100,100,0,0,0,0,0
Roseau River 2,4602027,99.1,99.1,99.1,0,0,0,0,0
De Salaberry,4602032,33,32.8,3.7,29.3,0,0,0,67
St-Pierre-Jolys,4602037,28.2,28.2,2.7,25.9,0,0,0,71.8
Hanover,4602041,8.2,8,2.3,5.7,0,0,0.2,91.8
Steinbach,4602044,10,9.8,3.2,6.7,0,0.1,0.1,90
Niverville,4602046,12.6,12.3,3.2,9,0,0.3,0,87.4
La Broquerie,4602053,17.7,17.1,2.8,14.1,0,0.3,0,82.3
Ste. Anne,4602057,20.1,19.7,3.2,16.5,0,0.5,0,79.9
Ste. Anne,4602061,28.8,28.2,4.6,23.6,0,0.4,0,70.9
Taché,4602069,17.7,17.5,2.5,14.9,0,0.1,0.2,82.3
Ritchot,4602075,18.2,18,1.9,16,0,0,0.1,81.8
Montcalm,4603030,7.8,7.8,0.9,6.5,0,0,0,92.2
Altona,4603040,2.5,2.5,0.5,2.1,0,0,0,97.5
Rhineland,4603041,1.5,1.4,0.7,0.7,0,0,0,98.7
Stanley,4603047,1.9,1.9,1.1,0.8,0,0,0,98.1
Winkler,4603050,3.6,3.5,1.9,1.6,0,0,0.1,96.4
Morden,4603053,4.9,4.7,2.1,2.6,0.1,0.2,0,95.1
Thompson,4603058,2.6,2.6,0,2.6,0,0,0,97
Roland,4603062,7.4,7.4,0,7,0,0,0,92.6
Morris,4603065,6.7,6.7,3.8,3.1,0,0,0,93.3
Morris,4603067,17.3,17.1,8.5,8.3,0,0,0,82.4
Dufferin,4603072,4.5,4.3,0,3.8,0,0,0,95.5
Carman,4603074,8.6,8.6,1,7.4,0.3,0,0,91.3
Pembina,4604034,2.2,2.2,0.7,1.6,0,0,0,97.8
Louise,4604040,7.4,7.4,1.1,5.7,0,0,0,92.6
Cartwright-Roblin,4604052,3,3,0,2,0,0,0,96.5
Argyle,4604057,10.3,8,2.3,5.7,0,0,0,89.7
Lorne,4604064,6.3,6.1,1.5,4.8,0,0,0,93.5
Swan Lake 7,4604068,,,,,,,,
Killarney - Turtle Mountain,4605025,6.7,6.6,1.8,4.6,0,0.3,0,93.1
Boissevain-Morton,4605032,9.6,9.6,0.4,9.4,0,0,0,90.4
Deloraine-Winchester,4605038,8.9,8.2,1,7.2,0,0,0,90.7
Brenda-Waskada,4605044,0,0,0,0,0,0,0,98.5
Melita,4605052,6,6,0,6,0,0,0,94
Two Borders,4605056,2.2,2.2,0.9,1.8,0,0,0,97.3
Grassland,4605062,8.7,8.3,3,5.3,0,0,0,91.3
Prairie Lakes,4605071,5.2,5.2,0,4.9,0,0,0,94.4
Sifton,4606016,8.9,8.9,2.4,5.7,0,0,0,91.5
Pipestone,4606023,10.8,10.8,5.4,5.4,0,0,0,89.6
Canupawakpa Dakota First Nation (Oak Lake 59),4606029,98.5,98.5,98.5,0,0,0,0,0
Wallace-Woodworth,4606031,4.2,4.1,2.1,2.1,0,0,0,95.8
Virden,4606034,4.6,4.6,1.3,3.3,0,0,0,95.4
Sioux Valley Dakota Nation,4606040,99.1,98.1,97.6,0.9,0,0,1.4,0
Glenboro-South Cypress,4607039,5.1,4.1,0,4.1,0,0,0,94.9
Swan Lake 7A,4607040,,,,,,,,
Oakland-Wawanesa,4607046,9.5,8.5,1.9,7,0,0,0,90.5
Souris-Glenwood,4607052,12.3,11.8,4.9,7.1,0,0.4,0,87.5
Whitehead,4607057,6.5,6,2.7,3.3,0,0,0,93.2
Cornwallis,4607060,12.4,11.9,6.9,4.8,0,0.3,0,87.6
Brandon,4607062,14.2,13.8,7.9,5.8,0,0.3,0.1,85.8
North Cypress-Langford,4607066,1.7,1.5,0.6,0.9,0,0,0,98.1
Carberry,4607068,10.4,9.8,3.9,5.6,0,0.6,0,89.6
Elton,4607071,4.1,4.1,0,3.3,0,0,0,95.5
Waywayseecappo Highway 10,4607072,,,,,,,,
Riverdale,4607076,11.4,11.4,3.2,8.2,0,0,0,88.6
Norfolk-Treherne,4608032,13.4,13.4,3.3,10,0,0,0,86.6
Victoria,4608042,8.6,8.6,0,7.6,0,0,0,91.4
North Norfolk,4608046,7.1,7.1,1,6,0,0,0,92.7
Glenella-Lansdowne,4608055,12.2,12.2,7.6,4.1,0,0,0,87.8
WestLake-Gladstone,4608060,13.2,13,7.7,4.9,0,0,0,86.6
Sandy Bay 5,4608069,99,97.7,97.3,0.4,0,0,1.5,0.8
Grey,4609018,9.5,9.3,1.9,7.5,0,0,0,90.3
Portage la Prairie,4609024,19.3,19.3,5,14.1,0,0,0,80.7
Long Plain 6,4609025,99.6,98.9,96.6,2.3,0,0,1.1,0.8
Dakota Plains 6A,4609026,95,95,90,0,0,0,0,0
Dakota Tipi 1,4609027,93.5,91.3,91.3,0,0,4.3,0,4.3
Portage la Prairie,4609029,29.1,28.4,14.2,14.2,0,0.6,0.1,70.9
Long Plain,4609030,,,,,,,,
Macdonald,4610035,8.7,8.7,1,7.7,0,0,0,91.2
Cartier,4610043,20.6,20.6,2.5,18.2,0,0,0,79.4
St. François Xavier,4610052,20.7,20,3.2,16.8,0,0,0,79.3
Winnipeg,4611040,12.4,12,5.5,6.5,0.1,0.2,0.1,87.6
Headingley,4611042,7.8,7.6,1.5,6.1,0,0,0,92.4
Springfield,4612047,11.2,10.9,1.2,9.5,0,0.3,0.1,88.8
Brokenhead,4612054,16,15.4,3.6,11.7,0,0.5,0.2,84.1
Beausejour,4612056,18.7,17.7,6.2,11.5,0,0.8,0,81.3
East St. Paul,4613032,7.2,7.1,1.7,5.4,0,0,0,92.8
West St. Paul,4613037,10.5,10.2,2.4,7.5,0.2,0.3,0,89.4
St. Andrews,4613043,14.2,13.8,3.1,10.7,0,0.2,0.2,85.8
Selkirk,4613047,35.1,34,14.7,19.4,0,1,0.1,64.9
Dunnottar,4613049,17.2,16.7,6.6,10.6,0,0,0,82.3
St. Clements,4613056,17,16.9,4.5,12.4,0,0.1,0,83
Brokenhead 4,4613062,96.5,95.3,90.7,3.5,0,0,2.3,3.5
Rosser,4614015,9.8,9.8,1.4,8.9,0,0,0,89.7
Woodlands,4614031,22.3,21.5,2.3,19.2,0,0,0.3,77.7
Rockwood,4614036,15.6,15.2,2.2,12.9,0,0.4,0.1,84.4
Stonewall,4614039,16.4,16.4,2.4,14.1,0,0,0,83.6
Teulon,4614042,21,21,1.7,19.2,0,0,0,79
Neepawa,4615020,4.6,4.5,1,3.5,0,0,0,95.4
Oakview,4615032,11.6,11.6,3.5,7.8,0,0,0,88.2
Hamiota,4615037,6.9,6.9,2.9,4.1,0,0,0,93.1
Birdtail Creek 57,4615042,100,100,100,0,0,0,0,0
Ellice-Archie,4615047,29.2,28.6,1.2,27.3,0,0,0,70.8
Gambler 63 (Part),4615049,,,,,,,,
Prairie View,4615056,9.6,9.1,4.4,4.7,0,0,0,90.4
Yellowhead,4615063,5.2,5.2,2.8,2.8,0,0,0,94.5
Keeseekoowenin 61,4615067,97.9,96.8,94.7,0,0,0,2.1,2.1
Harrison Park,4615070,8,8,2.2,5.2,0,0,0,92
Rolling River 67,4615071,97.4,96.1,94.7,0,0,0,0,2.6
Rolling River 67B,4615072,100,100,100,0,0,0,0,0
Minto-Odanah,4615074,6,6,0,2.5,0,0,0,94
Minnedosa,4615075,14,14,3.7,10.3,0,0,0,86
Rosedale,4615078,9.6,9.2,4.4,4.4,0,0,0,90.4
Clanwilliam-Erickson,4615092,11.9,11.9,9,3,0,0,0,88.1
Rossburn,4616005,17.5,17.5,11.1,6.9,0,0,0,82.5
Waywayseecappo First Nation,4616017,99.6,97.2,97.2,0.7,0,0,2.1,0
Riding Mountain West,4616020,12.9,12.9,2.8,10.1,0,0,0,87.1
Gambler 63 (Part),4616025,86.7,86.7,86.7,0,0,0,0,13.3
Russell-Binscarth,4616030,13.5,13.5,3.5,9.8,0,0,0,86.9
Valley River 63A,4616046,98.6,97.2,97.2,0,0,0,0,2.8
Hillsburg-Roblin-Shell River,4616048,25.7,24.8,3.8,21,0,0.7,0,74.3
Alonsa,4617026,57.9,57.9,37.9,20,0,0,0,41.7
Ebb and Flow 52,4617029,99.7,99.1,97.5,1.6,0,0,0.6,0
McCreary,4617035,15.8,15.8,3.4,11.6,0,0,0,84.2
Ste. Rose,4617041,38,36.6,5.6,30.7,0,0,0,62
Dauphin,4617048,10.1,9.9,3.5,6.3,0,0,0,89.9
Dauphin,4617050,27.5,26.3,11.9,14.4,0,0.6,0.6,72.5
Gilbert Plains,4617054,15.8,15.5,6.1,9.7,0,0,0,83.8
Grandview,4617058,14.8,14.8,7.6,7.2,0,0,0,84.8
Ethelbert,4617064,11.3,11.3,1.4,10.6,0,0,0,88.7
Mossey River,4617072,51.4,50.4,24.8,25.5,0,0,0,48.2
Lakeshore,4617075,24.8,23.9,4.6,19.7,0,0,0,75.2
"Division No. 17, Unorganized",4617092,0,0,0,0,0,0,0,100
Gimli,4618031,11.3,10.9,3.1,7.7,0,0.4,0,88.8
Winnipeg Beach,4618034,18.1,17.1,1.7,15.3,0,1.4,0,81.5
Armstrong,4618037,15,15,3.3,11.5,0,0,0,85
St. Laurent,4618040,55.5,55.2,11,44.2,0,0,0,44.5
Coldwell,4618044,31.2,30.8,3.6,27.3,0,0,0,68.8
Dog Creek 46,4618055,98.9,98.9,98.3,1.1,0,0,0,1.7
West Interlake,4618056,26.9,26.9,8.8,18.1,0,0,0,73.1
Grahamdale,4618060,20.9,20.5,6.3,14.2,0,0.8,0,79.1
Obushkudayang,4618061,97.9,96.3,95.8,1,0,0,1,2.6
Little Saskatchewan 48,4618063,100,97.6,96,1.6,0,0,1.6,0
Fairford 50,4618067,99.6,97.8,96.9,0,0,0,1.7,0.9
Fisher,4618068,29.7,29.7,14.9,14.9,0,0,0,70.3
Arborg,4618074,17.6,16.8,8.4,7.6,0,0,0,81.9
Bifrost-Riverton,4618076,16.5,16,8.5,7.7,0,0.3,0,83.7
"Division No. 18, Unorganized, East Part",4618091,0,0,0,0,0,0,0,94.9
"Division No. 18, Unorganized, West Part",4618093,,,,,,,,
Shoal River 65B,4619040,100,100,100,0,0,0,0,0
"Division No. 19, Unorganized",4619045,65.2,64.8,38.2,26.7,0,0,0,34.8
Fort Alexander 3,4619050,99.5,97.9,96.9,1.2,0,0,1.4,0.5
Little Grand Rapids 14,4619051,,,,,,,,
Bloodvein 12,4619052,99.2,98.4,96.9,0,0,0,0,1.6
Hole or Hollow Water 10,4619053,98.1,96.2,95.3,1.9,0,0,1.9,1.9
Black River 9,4619054,100,99,99,0,0,0,2,0
Fisher River 44,4619056,99.7,97.6,96.5,1.4,0,1,0.7,0.7
Fisher River 44A,4619058,100,100,100,0,0,0,0,0
Peguis 1B,4619059,99.2,98.2,97.5,0.8,0,0.3,0.5,1
Jackhead 43,4619061,100,100,100,0,0,0,0,0
Dauphin River 48A,4619062,100,97.6,97.6,0,0,0,0,0
The Narrows 49,4619065,100,100,100,0,0,0,0,0
Crane River 51,4619068,100,100,96.3,2.5,0,0,0,0
Waterhen 45,4619069,98.9,93.7,92.6,0,0,0,6.3,0
Pine Creek 66A,4619070,98.6,96.4,92.9,4.3,0,1.4,0,1.4
Swan Lake 65C,4619071,,,,,,,,
Shoal River Indian Reserve 65A,4619072,99.3,98.7,98.7,1.3,0,0,0,1.3
Poplar River 16,4619075,,,,,,,,
Berens River 13,4619077,99.1,99.1,98.7,0,0,0,0,1.3
Pauingassi First Nation,4619079,,,,,,,,
Chemawawin 3,4619082,,,,,,,,
Mountain (South),4620032,22,22,16,6,0,0,0,78
Swan Valley West,4620042,14.6,14.2,2.9,11.1,0,0,0,85.6
Swan River,4620048,30.2,29.5,15,14.4,0,0.4,0.3,70
Minitonas-Bowsman,4620051,19.2,19.2,9.5,9.5,0,0,0,80.8
Mountain (North),4620055,40.6,40.6,21.9,18.8,0,0,0,59.4
Wuskwi Sipihk First Nation 2,4620060,96.4,92.9,85.7,0,0,0,7.1,7.1
"Division No. 20, Unorganized, South Part",4620066,,,,,,,,
"Division No. 20, Unorganized, North Part",4620069,,,,,,,,
Grand Rapids,4621025,96.6,96.6,96.6,0,0,0,0,0
Grand Rapids 33,4621027,98.4,97.9,96.3,1.6,0,0,0,1.6
Chemawawin 2,4621029,99.6,98.4,97.2,1.2,0,0,0.8,0
Opaskwayak Cree Nation 21A,4621033,77.6,75.5,61.2,14.3,0,0,0,22.4
Opaskwayak Cree Nation 21B,4621034,94.5,94.5,92.7,3.6,0,0,0,7.3
Opaskwayak Cree Nation 21C,4621035,,,,,,,,
Opaskwayak Cree Nation 21D,4621036,,,,,,,,
Opaskwayak Cree Nation 21N,4621039,,,,,,,,
Opaskwayak Cree Nation 21I,4621040,83.3,83.3,75,8.3,0,0,0,16.7
Opaskwayak Cree Nation 21E,4621043,98.9,97.9,96.6,1.4,0.5,0.5,0,1.1
The Pas,4621045,53.5,52.8,34.5,18,0.3,0.8,0,46.5
Kelsey,4621052,41,39.9,27.2,12.7,0,0.5,0.7,59
Moose Lake 31A,4621058,96.4,96.4,95.8,0,0,0,0,3.6
Moose Lake 31G,4621060,,,,,,,,
Flin Flon (Part),4621064,22.4,22.1,9.8,12.3,0,0,0.2,77.6
Snow Lake,4621071,28.1,25.9,12.3,14.5,0,1.8,0,72.4
"Division No. 21, Unorganized",4621078,31.2,30.3,16.5,13.2,0,0,1.2,68.8
Moose Lake 31D,4621080,96.8,96.8,87.1,9.7,0,0,0,6.5
Mystery Lake,4622017,,,,,,,,
Thompson,4622026,45.5,44.6,37.5,6.9,0.2,0.2,0.7,54.5
Red Sucker Lake 1976A,4622045,100,100,100,0,0,0,0,0
"Division No. 22, Unorganized",4622046,75.8,75.1,65.1,10,0,0,0.7,24.2
Garden Hill First Nation,4622048,99.8,99.7,99.7,0,0,0,0.3,0.3
God's Lake 23,4622049,99,99,98.7,0,0,0,0,0.7
Oxford House 24,4622050,,,,,,,,
Cross Lake 19,4622051,99.7,99.2,99.2,0,0,0.5,0,0.5
Cross Lake 19A,4622052,99.8,97.8,97.8,0,0,0,2,0
God's River 86A,4622055,99.4,98.1,98.1,0,0,0,0,1.2
Red Sucker Lake 1976,4622056,100,100,99.3,0,0,0,0,0
Norway House 17,4622058,99.3,98.4,97.9,0.4,0,0.2,0.7,0.7
Nelson House 170,4622059,98.3,96.8,96.6,0,0,0,1.1,1.5
Split Lake 171,4622063,99.3,96.4,96.4,0.4,0,0,2.5,0.9
Ilford,4622064,100,92.3,92.3,0,0,0,0,0
York Landing,4622065,96.7,81.3,81.3,0,0,0,14.3,3.3
Mooseocoot 4,4622066,,,,,,,,
Cross Lake 19E,4622067,99.3,99.3,99.3,0,0,0,0,0
Wasagamack,4622800,100,99.8,99.8,0,0,0,0,0
St. Theresa Point,4622801,99.7,99.4,99.4,0,0,0,0.3,0.3
Mooseocoot,4622802,100,100,100,0,0,0,0,0
Gillam,4623022,52,52.5,39.6,12.4,0,0,0,47
A Kwis Ki Mahka,4623023,100,91.7,91.7,0,0,0,0,0
Fox Lake 2,4623027,100,100,100,0,0,0,0,0
Leaf Rapids,4623034,88.3,88.3,85.7,3.9,0,0,0,10.4
South Indian Lake,4623037,96.6,95.7,94,1.7,0,0,0,2.6
Granville Lake,4623039,,,,,,,,
O-Pipon-Na-Piwin Cree Nation 1,4623040,100,98,100,0,0,0,0,0
Lynn Lake,4623047,77.5,75,68.3,6.7,0,0,0,21.7
Churchill,4623056,62.7,57.6,43,10.8,3.8,5.1,0,37.3
Churchill 1,4623058,,,,,,,,
"Division No. 23, Unorganized",4623062,73.3,73.3,60,13.3,0,0,0,26.7
Pukatawagan 198,4623064,,,,,,,,
Brochet 197,4623065,,,,,,,,
Lac Brochet 197A,4623067,100,99.2,99.2,0,0,0,0,0
Shamattawa 1,4623071,,,,,,,,
Black Sturgeon,4623800,90,90,90,0,0,0,0,10
Argyle No. 1,4701001,9.5,9.5,0,9.5,0,0,0,90.5
Gainsborough,4701002,6.3,6.3,0,6.3,0,0,0,93.8
Carievale,4701004,0,0,0,0,0,0,0,100
Mount Pleasant No. 2,4701006,2.7,2.7,0,0,0,0,0,97.3
Carnduff,4701008,4.3,4.3,0,4.3,0,0,0,95.7
Enniskillen No. 3,4701011,4,4,0,4,0,0,0,96
Glen Ewen,4701012,0,0,0,0,0,0,0,97.4
Oxbow,4701014,2.8,2.8,0.8,1.6,0,0,0,97.2
Coalfields No. 4,4701016,0,0,0,0,0,0,0,98
Frobisher,4701017,22.6,22.6,0,19.4,0,0,0,77.4
North Portal,4701018,24,24,0,0,0,0,0,76
Roche Percée,4701019,0,0,0,0,0,0,0,90.9
Bienfait,4701021,16.3,16.3,0,15.5,0,0,0,83.7
Estevan No. 5,4701022,3.1,3.1,0,3.1,0,0,0,96.9
Estevan,4701024,5.2,5.1,1.4,3.7,0,0,0.1,94.8
Benson No. 35,4701027,11.9,11.9,0,10.7,0,0,0,88.1
Browning No. 34,4701031,0,0,0,0,0,0,0,97.5
Lampman,4701032,10.1,10.1,2.3,7.8,0,0,0,89.9
Moose Creek No. 33,4701036,9.5,9.5,0,0,0,0,0,92.1
Alameda,4701037,6.3,6.3,0,6.3,0,0,0,93.7
Reciprocity No. 32,4701039,0,0,0,0,0,0,0,100
Alida,4701041,0,0,0,0,0,0,0,95
Storthoaks No. 31,4701043,0,0,0,0,0,0,0,100
Storthoaks,4701044,0,0,0,0,0,0,0,100
Antler No. 61,4701047,0,0,0,0,0,0,0,100
Redvers,4701049,2.6,2.6,0,2.1,0,0,0,97.4
Moose Mountain No. 63,4701053,2.2,2.2,0,2.2,0,0,0,96.8
Manor,4701054,19.6,19.6,14.3,5.4,0,0,0,82.1
Carlyle,4701056,6.4,6.4,5.4,1,0,0,0,93.3
Brock No. 64,4701058,6.7,6.7,0,0,0,0,0,91.1
Arcola,4701059,2.2,2.2,0,1.5,0,0,0,97.8
Kisbey,4701061,7.4,7.4,0,7.4,0,0,0,92.6
Tecumseh No. 65,4701063,0,0,0,0,0,0,0,100
Forget,4701064,,,,,,,,
Stoughton,4701066,11.7,10.8,5.8,5.8,0,0,0,87.5
Heward,4701067,,,,,,,,
Golden West No. 95,4701069,0,0,0,0,0,0,0,98.7
Hazelwood No. 94,4701072,0,0,0,0,0,0,0,92.5
Wawken No. 93,4701076,7.3,7.3,3.3,4.9,0,0,0,92.7
Kennedy,4701077,0,0,0,0,0,0,0,97.6
Wawota,4701078,12,12,8,4,0,0,0,87
Kenosee Lake,4701079,0,0,0,0,0,0,0,95.2
Walpole No. 92,4701091,5.6,5.6,0,5.6,0,0,0,94.4
Maryfield No. 91,4701094,3.9,3.9,0,0,0,0,0,96.1
Maryfield,4701096,2.9,2.9,0,0,0,0,0,95.7
Fairlight,4701098,,,,,,,,
White Bear 70,4701808,75.7,75,74.3,1.4,0,0,0,25
Ocean Man 69,4701809,90.9,90.9,90.9,0,0,0,0,9.1
Ocean Man 69A,4701810,,,,,,,,
Ocean Man 69C,4701812,,,,,,,,
Ocean Man 69E,4701813,,,,,,,,
Ocean Man 69F,4701814,,,,,,,,
Ocean Man 69G,4701815,,,,,,,,
Ocean Man 69I,4701816,,,,,,,,
Ocean Man 69H,4701817,,,,,,,,
Ocean Man 69D,4701818,,,,,,,,
Pheasant Rump Nakota 68,4701819,100,100,100,0,0,0,0,0
Cambria No. 6,4702001,4.8,4.8,0,3.2,0,0,0,95.2
Torquay,4702002,7.3,7.3,0,4.9,0,0,0,90.2
Souris Valley No. 7,4702006,0,0,0,0,0,0,0,100
Tribune,4702008,,,,,,,,
Lake Alma No. 8,4702011,0,0,0,0,0,0,0,98.2
Surprise Valley No. 9,4702014,20,20,0,20,0,0,0,77.8
Minton,4702016,0,0,0,0,0,0,0,100
Happy Valley No. 10,4702018,7.7,7.7,0,0,0,0,0,92.3
Bengough,4702023,7.8,6.3,0,3.1,0,0,0,93.8
Bengough No. 40,4702024,0,0,0,0,0,0,0,100
The Gap No. 39,4702026,0,0,0,0,0,0,0,100
Ceylon,4702028,17.6,17.6,0,0,0,0,0,76.5
Laurier No. 38,4702029,0,0,0,0,0,0,0,100
Radville,4702031,1.3,1.3,0,0,0,0,0,98.7
Lomond No. 37,4702033,3.6,3.6,0,0,0,0,0,94.6
Goodwater,4702036,,,,,,,,
Cymri No. 36,4702037,1.7,1.7,0,1.7,0,0,0,99.1
Halbrite,4702038,17.4,17.4,0,17.4,0,0,0,87
Midale,4702039,13.3,11.2,5.1,6.1,0,0,0,87.8
Macoun,4702041,16.9,16.9,0,0,0,0,0,83.1
Griffin No. 66,4702042,2.2,2.2,0,0,0,0,0,97.8
Weyburn No. 67,4702044,3.7,3.7,1.4,1.8,0,0,0,96.3
Weyburn,4702047,4,3.9,1.3,2.5,0,0,0.1,95.9
McTaggart,4702048,0,0,0,0,0,0,0,100
Brokenshell No. 68,4702051,9.5,9.5,0,9.5,0,0,0,90.5
Norton No. 69,4702052,0,0,0,0,0,0,0,100
Pangman,4702054,3.8,0,0,0,0,0,0,94.3
Key West No. 70,4702057,0,0,0,0,0,0,0,100
Ogema,4702058,0,0,0,0,0,0,0,100
Elmsthorpe No. 100,4702061,0,0,0,0,0,0,0,92.6
Avonlea,4702062,0,0,0,0,0,0,0,97.4
Caledonia No. 99,4702066,0,0,0,0,0,0,0,100
Milestone,4702067,8.1,7.4,0,6.6,0,0,0,91.9
Scott No. 98,4702069,0,0,0,0,0,0,0,100
Lang,4702071,0,0,0,0,0,0,0,100
Yellow Grass,4702072,4.5,4.5,0,4.5,0,0,0,95.5
Wellington No. 97,4702073,6.3,6.3,0,6.3,0,0,0,93.7
Fillmore No. 96,4702076,0,0,0,0,0,0,0,100
Osage,4702077,,,,,,,,
Fillmore,4702078,3.7,3.7,0,3.7,0,0,0,98.1
Creelman,4702079,0,0,0,0,0,0,0,94.7
Hart Butte No. 11,4703001,0,0,0,0,0,0,0,97.8
Coronach,4703004,6.3,6.3,1.8,4.5,0,0,0,92.8
Poplar Valley No. 12,4703006,0,0,0,0,0,0,0,97.8
Rockglen,4703009,8,8,0,6.7,0,0,0,92
Old Post No. 43,4703011,4.3,4.3,0,0,0,0,0,97.9
Wood Mountain,4703012,,,,,,,,
Glen McPherson No. 46,4703016,0,0,0,0,0,0,0,93.8
Mankota No. 45,4703018,4.2,4.2,0,4.2,0,0,0,95.8
Mankota,4703019,8.6,8.6,0,5.7,0,0,0,88.6
Waverley No. 44,4703022,8.6,8.6,0,3.4,0,0,0,91.4
Willow Bunch No. 42,4703026,11.1,9.5,0,7.9,0,0,0,90.5
Willow Bunch,4703028,26.6,26.6,3.1,25,0,0,0,71.9
Excel No. 71,4703029,13.1,13.1,0,8.2,0,0,0,86.9
Lake of the Rivers No. 72,4703034,8.3,8.3,0,3.3,0,0,0,91.7
Assiniboia,4703036,4.9,4.9,0.4,4.2,0,0,0,95.3
Stonehenge No. 73,4703038,7.4,7.4,0,4.4,0,0,0,92.6
Limerick,4703041,0,0,0,0,0,0,0,95.7
Wood River No. 74,4703042,1.9,1.9,0,0,0,0,0,99
Lafleche,4703044,2.7,2.7,0,2.7,0,0,0,96
Pinto Creek No. 75,4703048,4.9,4.9,0,4.9,0,0,0,95.1
Kincaid,4703051,0,0,0,0,0,0,0,100
Hazenmore,4703052,0,0,0,0,0,0,0,82.4
Auvergne No. 76,4703054,0,0,0,0,0,0,0,93.5
Ponteix,4703058,10.1,10.1,0,10.1,0,0,0,89.9
Whiska Creek No. 106,4703059,2.6,2.6,0,0,0,0,0,97.4
Neville,4703061,9.5,9.5,0,9.5,0,0,0,90.5
