CSDNAME,CSDUID,Aggregate after-tax income of households
Mervin No. 499,4717045,54200000
Messines,2483060,52000000
Métabetchouan--Lac-à-la-Croix,2493012,122600000
Metchosin,5917042,205600000
Métis-sur-Mer,2409048,16800000
Metro Vancouver A,5915020,616000000
Midale,4702039,17200000
Middle Arm,1008072,12600000
Middlesex Centre,3539033,800000000
Middleton,1205016,50200000
Midland,3543074,569000000
Midway,5905037,20200000
Milan,2430040,7800000
Milestone,4702067,23600000
Milk River,4802004,25200000
Millbrook 27,1210003,21600000
Mille-Isles,2476030,57200000
Millet,4811011,59600000
Milltown-Head of Bay d'Espoir,1003018,22000000
Millville,1310025,8800000
Milton,3524009,4660000000
Miltonvale Park,1102040,36400000
Miminegash,1103063,28600000
Minburn County No. 27,4810026,94000000
Minden Hills,3546015,252400000
Mingan,2498808,14400000
Ming's Bight,1008095,9600000
Ministikwan 161,4717809,8000000
Minitonas-Bowsman,4620051,45600000
Minnedosa,4615075,84000000
Minto,1304022,56600000
Minto,3523043,284500000
Minto-Odanah,4615074,36400000
Mirabel,2474005,2056000000
Miramichi,1309050,553000000
Miscouche,1103024,29000000
Miscouche,1103040,21400000
Mission,5909056,1364000000
Mission 1,5915807,16000000
Mississagi River 8,3557073,11400000
Mississauga,3521005,25520000000
Mississippi Mills,3509030,582000000
Mistawasis 103,4716855,13000000
Mistissini,2499804,118000000
Moncton,1307019,370000000
Moncton,1307022,2460000000
Monet No. 257,4708092,12800000
Mono,3522012,426000000
Montague,3509001,140400000
Montana 139,4808813,10800000
Montcalm,2478055,17600000
Montcalm,4603030,34400000
Mont-Carmel,2414005,31400000
Montcerf-Lytton,2483088,18400000
Montebello,2480010,30200000
Mont-Joli,2409077,170400000
Mont-Laurier,2479088,416000000
Montmagny,2418050,339000000
Montmartre,4706002,14400000
Montmartre No. 126,4706001,10000000
Montpellier,2480090,34000000
Montréal,2466023,56800000000
Montreal Lake 106,4718802,15400000
Montreal Lake 106B,4715853,6200000
Montréal-Est,2466007,131200000
Montréal-Ouest,2466047,247200000
Montrose,5905009,35600000
Montrose No. 315,4712026,20800000
Mont-Royal,2466072,1124000000
Mont-Saint-Grégoire,2456097,106000000
Mont-Saint-Hilaire,2457035,804000000
Mont-Saint-Michel,2479110,17200000
Mont-Tremblant,2478102,404000000
Moonbeam,3556056,45600000
Moose Creek No. 33,4701036,10800000
Moose Jaw,4707039,1128000000
Moose Jaw No. 161,4707038,46800000
Moose Lake 31A,4621058,12400000
Moose Mountain No. 63,4701053,15200000
Moose Range No. 486,4714067,28600000
Moosomin,4705004,90400000
Moosomin 112B,4717812,10400000
Moosomin No. 121,4705001,26800000
Moosonee,3556106,51600000
Moravian 47,3536029,8400000
Morden,4603053,279000000
Morell,1101043,36400000
Morell,1101048,9600000
Moricetown 1,5949817,6400000
Morin Lake 217,4718808,8400000
Morin-Heights,2477050,188800000
Morinville,4811068,373000000
Morley,3559031,10200000
Morris,4603065,87200000
Morris,4603067,58400000
Morris No. 312,4711052,10400000
Morris-Turnberry,3540050,104800000
Morse No. 165,4707024,10800000
Mortlach,4707034,7600000
Mossbank,4703092,12200000
Mossey River,4617072,38000000
Mount Carmel-Mitchells Brook-St. Catherine's,1001197,13600000
Mount Currie,5931843,26200000
Mount Hope No. 279,4710024,10800000
Mount Moriah,1005033,23200000
Mount Pearl,1001542,798000000
Mount Pleasant No. 2,4701006,11400000
Mount Waddington A,5943037,24000000
Mount Waddington C,5943031,31800000
Mount Waddington D,5943033,11400000
Mountain (North),4620055,14000000
Mountain (South),4620032,12000000
Mountain View County,4806028,462000000
Mt. Lorne,6001044,21200000
Muenster,4715004,12800000
Mulgrave,1213008,22400000
Mulgrave-et-Derry,2480085,16800000
Mulmur,3522016,178400000
Mundare,4810061,20400000
Murdochville,2403025,18800000
Murray Harbour,1101002,8800000
Murray Harbour,1101003,19200000
Murray River,1101004,8400000
"Murray River, Part 1",1101005,41200000
Muscowpetung 80,4706813,6200000
Musgrave Harbour,1008006,24200000
Musgravetown,1007032,14200000
Muskeg Lake Cree Nation 102,4716854,5600000
Muskoday First Nation,4715847,14200000
Muskoka Lakes,3544053,390000000
Muskowekwan 85,4710822,7100000
Musquash,1301016,42800000
Musqueam 2,5915803,58000000
Nackawic,1310054,30200000
Naicam,4714032,19800000
Nain,1011035,21200000
Nairn and Hyman,3552031,15200000
Nak'azdli,5951803,15000000
Nakusp,5903050,53400000
Nampa,4817039,14800000
Namur,2480110,13200000
Nanaimo,5921007,3430000000
Nanaimo A,5921010,262500000
Nanaimo B,5921014,162000000
Nanaimo C,5921016,124000000
Nanaimo E,5921030,302500000
Nanaimo F,5921032,265500000
Nanaimo G,5921034,317500000
Nanaimo H,5921036,151600000
Nanaimo River,5921807,7400000
Nanaimo Town 1,5921804,9600000
Nantes,2430045,41600000
Nanton,4803026,69600000
Napierville,2468030,122000000
Natashquan,2498025,6200000
Natuashish 2,1010801,22800000
Naujaat,6205027,23600000
Nédélec,2485100,11600000
Neebing,3558001,86800000
Neepawa,4615020,157200000
Neguac,1309038,46600000
Neilburg,4713094,9600000
Nelson,1309014,29400000
Nelson,5903015,380000000
Nelson House 170,4622059,37600000
Nemaska,2499808,26000000
Neskonlith,5933898,8000000
Neudorf,4705064,7200000
Neuville,2434007,166800000
New Bandon,1315016,36400000
New Carlisle,2405040,35600000
New Credit (Part) 40A,3529021,14600000
New Denver,5903032,12000000
New Glasgow,1102017,134000000
New Glasgow,1212014,286000000
New Hazelton,5949024,19200000
New London,1102071,50400000
New Maryland,1310001,93600000
New Maryland,1310002,162800000
New Richmond,2405070,113800000
New Songhees 1A,5917812,54600000
New Tecumseth,3543007,1536000000
New Westminster,5915029,3035000000
Newbury,3539002,14200000
Newcastle,1309031,32000000
Newell County,4802031,216000000
Newmarket,3519048,3230000000
Newport,2441037,18000000
New-Wes-Valley,1007060,63800000
Neyaashiinigmiing 27,3541060,13400000
Niagara Falls,3526043,2945000000
Niagara-on-the-Lake,3526047,796000000
Nicola Mameet 1,5933807,12600000
Nicolet,2450072,252400000
Nigadoo,1315037,29000000
Nipawin,4714076,136000000
Nipawin No. 487,4714072,31600000
Nipigon,3558044,49800000
Nipissing,3549071,60600000
Nipissing 10,3548073,51200000
"Nipissing, Unorganized, North Part",3548094,54200000
Nisga'a,5949035,46400000
Niverville,4602046,184400000
Nobleford,4802014,36000000
Nokomis,4711044,12200000
Nominingue,2479030,72400000
Norfolk County,3528052,2272000000
Norfolk-Treherne,4608032,52800000
Norglenwold,4808013,15600000
Norman Wells,6102007,37000000
Normandin,2492040,86400000
Norman's Cove-Long Cove,1001285,18800000
Normétal,2487115,23000000
Norquay,4709072,10800000
Norris Arm,1006003,18200000
Norris Point,1009012,21200000
North Algona Wilberforce,3547070,106000000
North Battleford,4716029,430000000
North Battleford No. 437,4716028,26800000
North Bay,3548044,1796000000
North Coast D,5947027,19600000
North Coast E,5947032,13600000
North Cowichan,5919008,1128000000
North Cypress-Langford,4607066,77600000
North Dumfries,3530004,442000000
North Dundas,3501030,407000000
North Frontenac,3510045,87600000
North Glengarry,3501050,322000000
North Grenville,3507065,712000000
North Hatley,2445050,27200000
North Huron,3540055,165600000
North Kawartha,3515037,110600000
North Middlesex,3539041,213200000
North Norfolk,4608046,95000000
North Okanagan B,5937017,110200000
North Okanagan C,5937021,176000000
North Okanagan D,5937022,91600000
North Okanagan E,5937023,26400000
North Okanagan F,5937041,135600000
North Perth,3531040,499000000
North Qu'Appelle No. 187,4706048,42000000
North River,1001426,18800000
North Rustico,1102019,11600000
North Rustico,1102046,17800000
North Saanich,5917005,637000000
North Shore,1102067,86000000
North Shore,1102073,46800000
North Spirit Lake,3560080,2800000
North Stormont,3501042,246800000
North Vancouver,5915046,4320000000
North Vancouver,5915051,2480000000
North West River,1010022,21600000
Northampton,1311008,53800000
Northeastern Manitoulin and the Islands,3551017,98400000
Northern Arm,1006015,13800000
Northern Bruce Peninsula,3541069,172000000
Northern Lights County,4817076,136400000
Northern Rockies,5959007,149600000
Northern Sunrise County,4817026,67600000
Northesk,1309028,66800000
Northfield,1303018,15800000
Norton,1305016,42800000
Norton,1305018,39600000
Norway House 17,4622058,99200000
Norwich,3532002,358000000
Notre-Dame-Auxiliatrice-de-Buckland,2419010,26200000
Notre-Dame-de-Bonsecours,2480015,10000000
Notre-Dame-de-Ham,2439015,12600000
Notre-Dame-de-la-Merci,2462055,44800000
Notre-Dame-de-la-Paix,2480020,16800000
Notre-Dame-de-la-Salette,2482010,27800000
Notre-Dame-de-l'Île-Perrot,2471065,439000000
Notre-Dame-de-Lourdes,1313008,7800000
Notre-Dame-de-Lourdes,2432080,23000000
Notre-Dame-de-Lourdes,2461045,90800000
Notre-Dame-de-Montauban,2435005,22600000
Notre-Dame-de-Pontmain,2479010,24800000
Notre-Dame-des-Bois,2430010,26600000
Notre-Dame-des-Monts,2415025,23600000
Notre-Dame-des-Neiges,2411045,38400000
Notre-Dame-des-Pins,2429120,59600000
Notre-Dame-des-Prairies,2461030,330000000
Notre-Dame-de-Stanbridge,2446100,16800000
Notre-Dame-du-Bon-Conseil,2449075,47600000
Notre-Dame-du-Bon-Conseil,2449080,23600000
Notre-Dame-du-Laus,2479005,54800000
Notre-Dame-du-Mont-Carmel,2437235,189600000
Notre-Dame-du-Nord,2485090,29800000
Notre-Dame-du-Portage,2412080,54400000
Notre-Dame-du-Rosaire,2418040,10800000
Notre-Dame-du-Sacré-Coeur-d'Issoudun,2433085,28000000
Nouvelle,2406020,55000000
Noyan,2456015,40800000
Nutashkuan,2498806,28000000
Oak Bay,5917030,944000000
Oakland-Wawanesa,4607046,52800000
Oakview,4615032,54600000
Oakville,3524001,10040000000
Obedjiwan 28,2490804,34800000
Obushkudayang,4618061,13400000
Ochapowace 71,4705806,8800000
O'Chiese 203,4809806,16000000
O'Connor,3558016,28000000
Odanak,2450802,13600000
Ogden,2445020,25000000
Ogema,4702058,8800000
Oil Springs,3538018,23600000
Oka,2472032,139600000
Okanagan (Part) 1,5937801,107000000
Okanagan-Similkameen A,5907022,80400000
Okanagan-Similkameen B,5907026,33200000
Okanagan-Similkameen C,5907028,124200000
Okanagan-Similkameen D,5907047,153200000
Okanagan-Similkameen E,5907049,83600000
Okanagan-Similkameen F,5907051,93200000
Okanagan-Similkameen G,5907053,66000000
Okanagan-Similkameen H,5907055,82800000
Okanagan-Similkameen I,5907048,87600000
Okotoks,4806012,1162000000
Old Perlican,1001343,17200000
Olds,4806034,326000000
O'Leary,1103042,19200000
O'Leary,1103065,70800000
Oliver,5907014,169600000
Oliver Paipoonge,3558011,236400000
One Arrow 95,4715844,9200000
One Hundred Mile House,5941005,51800000
Onoway,4813014,29200000
Opaskwayak Cree Nation 21B,4621034,8000000
Opaskwayak Cree Nation 21E,4621043,43200000
O-Pipon-Na-Piwin Cree Nation 1,4623040,3200000
Opportunity No. 17,4817031,95600000
Orangeville,3522014,1066000000
Orford,2445115,208400000
Orillia,3543052,1056000000
Orkney No. 244,4709011,70400000
Ormstown,2469037,108400000
Oro-Medonte,3543023,970000000
Oromocto,1303012,305500000
Oromocto 26,1303013,7400000
Oshawa,3518013,5740000000
Osler,4711075,35600000
Osnaburgh 63B,3560055,5400000
Osoyoos,5907005,184400000
Osoyoos 1,5907802,41200000
Otonabee-South Monaghan,3515005,256500000
Ottawa,3506008,42000000000
Otter Lake,2484055,28000000
Otterburn Park,2457030,316000000
Oujé-Bougoumou,2499818,24400000
Outlook,4711027,76000000
Owen Sound,3542059,670000000
Oxbow,4701014,46800000
Oxford,1211012,31000000
Oyen,4804014,23600000
Packington,2413015,16400000
Paddockwood No. 520,4715099,33600000
Paintearth County No. 18,4807011,54000000
Palmarolle,2487025,46000000
Pangnirtung,6204009,40400000
Papineau-Cameron,3548013,35600000
Papineauville,2480037,61400000
Paqtnkek-Niktuek No. 23,1214010,6800000
Paquetville,1315019,55200000
Paquetville,1315020,22800000
Paradise,1001517,886000000
Paradise Hill,4717034,16400000
Parisville,2438055,10400000
Parkdale No. 498,4717047,22800000
Parkland County,4811034,1352000000
Parksville,5921018,469000000
Parry Island First Nation,3549073,8400000
Parry Sound,3549032,212800000
"Parry Sound, Unorganized, Centre Part",3549096,81600000
Parson's Pond,1009017,9000000
Pasadena,1005012,118200000
Paspébiac,2405032,95000000
Pasqua 79,4706812,11200000
Paulatuk,6101014,8800000
Peace No. 135,4819071,52400000
Peace River,4819038,248000000
Peace River B,5955040,154400000
Peace River C,5955042,257500000
Peace River D,5955021,171200000
Peace River E,5955023,102800000
Peachland,5935018,222400000
Peel,1311024,29600000
Peepeekisis 81,4706816,9200000
Peguis 1B,4619059,59600000
Pelham,3526028,764000000
Pelican Narrows 184B,4718820,24600000
Pelican Narrows 206,4718827,5200000
Pelly,4709044,7200000
Pelly Crossing,6001041,9600000
Pemberton,5931012,127000000
Pembina,4604034,64800000
Pembroke,3547064,441000000
Penelakut Island 7,5919809,8400000
Penetanguishene,3543072,310500000
Penhold,4808009,119400000
Pennfield,1302011,68800000
Pense,4706023,21200000
Pense No. 160,4706021,14400000
Penticton,5907041,1284000000
Penticton 1,5907803,72000000
Percé,2402005,92200000
Perdue,4712051,14600000
Perdue No. 346,4712050,9600000
Péribonka,2492010,17600000
Perry,3549014,83200000
Perth,1312004,30600000
Perth,3509021,218800000
Perth East,3531030,396000000
Perth South,3531013,143200000
Perth-Andover,1312006,42400000
Pessamit,2496802,55600000
Petawawa,3547076,642000000
Peterborough,3515014,2715000000
Petersville,1304001,20800000
Peterview,1006021,15200000
Petitcodiac,1307029,43200000
Petite-Rivière-Saint-François,2416005,37200000
Petit-Rocher,1315014,55800000
Petit-Saguenay,2494205,17600000
Petrolia,3538019,212000000
Petty Harbour-Maddox Cove,1001551,31400000
Piapot 75,4706809,10000000
Pic River 50,3558062,10800000
Pickering,3518001,3860000000
Pickle Lake,3560049,11600000
Pictou,1212004,85800000
"Pictou, Subd. A",1212001,198800000
"Pictou, Subd. B",1212006,179200000
"Pictou, Subd. C",1212011,271500000
Picture Butte,4802018,54000000
Piedmont,2477030,140800000
Pierceland,4717067,18400000
Pierreville,2450113,60600000
Pigeon Lake 138A,4811802,4800000
Piikani 147,4803801,31200000
Pike River,2446025,13600000
Pikogan,2488802,14800000
Pikwakanagan (Golden Lake 39),3547037,10800000
Pilley's Island,1008053,8400000
Pilot Butte,4706031,102400000
Pinawa,4601051,54200000
Pincher Creek,4803014,118600000
Pincher Creek No. 9,4803011,107600000
Pincourt,2471070,497000000
Pine Creek 66A,4619070,13200000
Pinehouse,4718065,21200000
Piney,4601039,47200000
Pinto Creek No. 75,4703048,7200000
Piopolis,2430020,13200000
Pipestone,4606023,44000000
Pitt Meadows,5915070,742000000
Placentia,1001240,99000000
Plaisance,2480045,34800000
Plaster Rock,1312009,25400000
Pleasantdale No. 398,4714035,22000000
Plessisville,2432040,186400000
Plessisville,2432045,80000000
Plummer Additional,3557019,20200000
Plympton-Wyoming,3538035,333000000
Pohénégamook,2413095,76800000
Point Edward,3538031,78800000
Point Leamington,1008049,18800000
Pointe-à-la-Croix,2406030,37200000
Pointe-aux-Outardes,2496030,52000000
Pointe-Calumet,2472020,191600000
Pointe-Claire,2466097,1258000000
Pointe-des-Cascades,2471055,58800000
Pointe-Fortune,2471140,15800000
Pointe-Lebel,2496025,66000000
Pointe-Verte,1315013,29000000
Ponass Lake No. 367,4714023,13600000
Pond Inlet,6204020,39200000
Ponoka,4808039,241200000
Ponoka County,4808038,341000000
Ponteix,4703058,15400000
Pontiac,2482030,214000000
Pont-Rouge,2434017,340000000
Poorman 88,4710825,9600000
Poplar Hill,3560067,10000000
Porcupine No. 395,4714006,21600000
Porcupine Plain,4714007,27400000
Port Alberni,5923008,573000000
Port Alice,5943017,26600000
Port au Choix,1009022,25000000
Port au Port East,1004021,11800000
Port au Port West-Aguathuna-Felix Cove,1004042,11000000
Port Blandford,1007036,16400000
Port Clements,5947030,11600000
Port Colborne,3526011,640000000
Port Coquitlam,5915039,2264000000
Port Edward,5947007,16400000
Port Elgin,1307002,8600000
Port Hardy,5943023,126800000
Port Hawkesbury,1215002,93800000
Port Hope,3514020,650000000
Port Hope Simpson,1010009,12400000
Port McNeill,5943012,81600000
Port Moody,5915043,1504000000
Port Rexton,1007016,12800000
Port Saunders,1009019,23000000
Portage la Prairie,4609024,180400000
Portage la Prairie,4609029,395000000
Port-Cartier,2497022,242400000
Port-Daniel--Gascons,2402047,64000000
Portneuf,2434048,108400000
Portneuf-sur-Mer,2495040,17200000
Portugal Cove-St. Philip's,1001504,340000000
Potton,2445030,86000000
Pouce Coupe,5955005,28800000
Pouch Cove,1001505,64000000
Poularies,2487035,19200000
Poundmaker 114,4713835,7300000
Powassan,3549060,105200000
Powell River,5927008,460000000
Powerview-Pine Falls,4601075,35200000
Prairie Lakes,4605071,45600000
Prairie View,4615056,59800000
Preeceville,4709064,30200000
Preeceville No. 334,4709062,22000000
Preissac,2488090,39200000
Prescott,3507008,121400000
Prévost,2475040,499000000
Price,2409065,45000000
Priest's Valley 6,5937803,10600000
Prince,3557066,42400000
Prince Albert,4715066,1132000000
Prince Albert No. 461,4715064,99200000
Prince Edward County,3513020,986000000
Prince George,5953023,2835000000
Prince Rupert,5947012,485000000
Prince William,1310016,33200000
Princeton,5907024,101400000
Princeville,2432033,175200000
Progress No. 351,4713041,11600000
Provost,4807002,62200000
Provost No. 52,4807001,72400000
Puskiakiwenin 122,4812804,12400000
Puslinch,3523001,458000000
Puvirnituq,2499120,48800000
qathet A,5927010,41200000
qathet B,5927012,56200000
qathet C,5927016,66800000
qathet D,5927018,36000000
qathet E,5927020,14200000
Qikiqtarjuaq,6204010,13600000
Quaaout 1,5939805,9200000
Qualicum Beach,5921023,351000000
Qu'Appelle,4706036,19200000
Quaqtaq,2499115,10800000
Québec,2423027,19160000000
Queen Charlotte,5947026,31000000
Queens,1204010,295000000
Queensbury,1310021,40800000
Quesnel,5941013,332000000
Quill Lake,4710064,11000000
Quinsam 12,5924812,12000000
Quinte West,3512015,1556000000
Quispamsis,1305057,726000000
Racine,2442032,46000000
Radisson,4716009,13200000
Radium Hot Springs,5901040,52400000
Radville,4702031,24000000
Ragueneau,2496040,42000000
Rainbow Lake,4817097,28000000
Rainy River,3559042,26800000
"Rainy River, Unorganized",3559090,54000000
Ramara,3543019,380000000
Ramea,1003026,9400000
Rankin Inlet,6205017,110000000
Rapide-Danseur,2487010,12400000
Rawdon,2462037,352000000
Raymond,4802008,116600000
Raymore,4710027,17600000
Reciprocity No. 32,4701039,13400000
Red Bank 4,1309023,10200000
Red Deer,4808011,3530000000
Red Deer County,4808001,744000000
Red Earth 29,4714840,6000000
Red Lake,3560042,181600000
Red Pheasant 108,4712829,10000000
Red Rock,3558041,32400000
Red Sucker Lake 1976,4622056,11600000
Redberry No. 435,4716018,9600000
Redcliff,4801018,179600000
Redvers,4701049,33200000
Redwater,4811065,72000000
Regina,4706027,8160000000
Regina Beach,4706058,79000000
"Region 6, Unorganized",6106097,17500000
Reidville,1005009,16000000
Rémigny,2485105,9200000
Renews-Cappahayden,1001131,11000000
Renfrew,3547048,254000000
Reno No. 51,4704019,9600000
Repentigny,2460013,2945000000
Revelstoke,5939019,306500000
Rexton,1308017,29800000
Reynolds,4601043,43600000
Rhineland,4603041,127200000
Richelieu,2455057,187600000
Richibucto,1308016,69200000
Richibucto,1308018,35400000
Richibucto 15,1308015,57400000
Richmond,1311001,38400000
Richmond,2442098,88400000
Richmond,5915015,6960000000
Richmond Hill,3519038,7440000000
"Richmond, Subd. A",1216006,110200000
"Richmond, Subd. B",1216011,55600000
"Richmond, Subd. C",1216001,91000000
Rideau Lakes,3507040,399000000
Riding Mountain West,4616020,48800000
Rigaud,2471133,264500000
Rigolet,1011010,9200000
Rimbey,4808044,71200000
Rimouski,2410043,1600000000
Ripon,2480078,57000000
Ritchot,4602075,271500000
Riverdale,4607076,55800000
Riverside No. 168,4708031,11200000
Riverside-Albert,1306003,7400000
Riverview,1306020,674000000
Rivière-à-Pierre,2434135,21600000
Rivière-Beaudette,2471005,79600000
Rivière-Bleue,2413025,31000000
Rivière-du-Loup,2412072,640000000
Rivière-Éternité,2494215,12400000
Rivière-Héva,2489010,59000000
Rivière-Ouelle,2414065,33200000
Rivière-Rouge,2479037,132800000
Rivière-Verte,1313014,21800000
Rivière-Verte,1313015,18800000
Robert's Arm,1008060,20400000
Roberval,2491025,298500000
Rocanville,4705038,37600000
Rocanville No. 151,4705037,20800000
Rockglen,4703009,11800000
Rockwood,4614036,252800000
Rocky Harbour,1009013,28200000
Rocky Mountain House,4809015,241200000
Rocky View County,4806014,2396000000
Rockyford,4805022,9600000
Roddickton-Bide Arm,1009007,24000000
Rogersville,1309016,28800000
Rogersville,1309017,30200000
Roland,4603062,29200000
Rolling River 67,4615071,8000000
Roquemaure,2487015,12400000
Rose Blanche-Harbour le Cou,1003045,10200000
Roseau River 2,4602027,8800000
Rosedale,4615078,32000000
Rosedale No. 283,4711031,14000000
Rosemary,4802038,10400000
Rosemère,2473020,580000000
Rosetown,4712006,86400000
Ross River,6001037,10800000
Rossburn,4616005,30400000
Rosser,4614015,41600000
Rossland,5905023,176400000
Rosthern,4715032,49200000
Rosthern No. 403,4715031,66000000
Rothesay,1305008,14000000
Rothesay,1305045,528000000
Rougemont,2455037,87600000
Rouleau,4706017,17200000
Round Hill No. 467,4716033,11600000
Round Valley No. 410,4713072,13600000
Rouyn-Noranda,2486042,1464000000
Roxton,2448015,30800000
Roxton Falls,2448010,35200000
Roxton Pond,2447047,131200000
Rudy No. 284,4711026,10000000
Russell,3502048,788000000
Russell-Binscarth,4616030,89600000
Rycroft,4819056,15200000
Ryerson,3549024,23800000
Ryley,4810019,14600000
Saanich,5917021,4640000000
Sabaskong Bay 35D,3560063,7400000
Sables-Spanish Rivers,3552023,102400000
Sachigo Lake 1,3560076,10400000
Sackville,1307008,36800000
Sackville,1307009,192000000
Sacré-Coeur,2495010,50400000
Sacré-Coeur-de-Jésus,2431130,14400000
Saddle Hills County,4819059,73600000
Sagamok,3557071,23400000
Saguenay,2494068,4770000000
Sahhaltkum 4,5933884,8000000
Saint Andrews,1302024,24000000
Saint Andrews,1302026,71200000
Saint Croix,1302028,20800000
Saint David,1302042,39600000
Saint George,1302016,78000000
Saint James,1302039,28600000
Saint John,1301006,2096000000
Saint Martins,1301001,36800000
Saint Mary,1308006,58000000
Saint Marys,1310031,165600000
Saint Patrick,1302021,20000000
Saint Stephen,1302034,47800000
Saint-Adalbert,2417015,13600000
Saint-Adelme,2408030,15400000
Saint-Adelphe,2435015,28200000
Saint-Adolphe-d'Howard,2477065,146400000
Saint-Adrien,2440010,14200000
Saint-Adrien-d'Irlande,2431095,10400000
Saint-Agapit,2433045,136000000
Saint-Aimé,2453015,11800000
Saint-Aimé-des-Lacs,2415030,37600000
Saint-Aimé-du-Lac-des-Îles,2479022,24600000
Saint-Alban,2434097,34800000
Saint-Albert,2439085,49400000
Saint-Alexandre,2456055,83200000
Saint-Alexandre-de-Kamouraska,2414035,62800000
Saint-Alexandre-des-Lacs,2407065,8400000
Saint-Alexis,2463023,42000000
Saint-Alexis-de-Matapédia,2406050,13200000
Saint-Alexis-des-Monts,2451065,83200000
Saint-Alfred,2427015,17200000
Saint-Alphonse,2405065,19200000
Saint-Alphonse-de-Granby,2447010,104800000
Saint-Alphonse-Rodriguez,2462025,109000000
Saint-Amable,2459015,419000000
Saint-Ambroise,2494255,120600000
Saint-Ambroise-de-Kildare,2461040,124200000
Saint-Anaclet-de-Lessard,2410030,98800000
Saint-André,1313002,51600000
Saint-André-Avellin,2480027,105200000
Saint-André-d'Argenteuil,2476008,93000000
Saint-André-de-Kamouraska,2414040,17600000
Saint-André-du-Lac-Saint-Jean,2491010,13600000
Saint-Anicet,2469070,85400000
Saint-Anselme,2419062,126800000
Saint-Antoine,1308007,58400000
Saint-Antoine-de-Tilly,2433095,60000000
Saint-Antoine-sur-Richelieu,2457075,60600000
Saint-Antonin,2412015,136400000
Saint-Apollinaire,2433090,258000000
Saint-Armand,2446017,40400000
Saint-Arsène,2412065,34400000
Saint-Athanase,2413100,8800000
Saint-Aubert,2417055,43000000
Saint-Augustin,2492005,9200000
Saint-Augustin,2498012,13000000
Saint-Augustin-de-Desmaures,2423072,848000000
Saint-Augustin-de-Woburn,2430005,19200000
Saint-Barnabé,2451025,34400000
Saint-Barnabé-Sud,2454105,30000000
Saint-Barthélemy,2452055,57000000
Saint-Basile,1313018,20400000
Saint-Basile,2434038,84400000
Saint-Basile-le-Grand,2457020,648000000
Saint-Benjamin,2428025,29600000
Saint-Benoît-Labre,2429100,50400000
Saint-Bernard,2426055,76800000
Saint-Bernard-de-Lacolle,2468005,48400000
Saint-Bernard-de-Michaudville,2454115,18800000
Saint-Blaise-sur-Richelieu,2456065,67600000
Saint-Bonaventure,2449125,29000000
Saint-Boniface,2451085,164800000
Saint-Bruno,2493030,90800000
Saint-Bruno-de-Guigues,2485045,36800000
Saint-Bruno-de-Kamouraska,2414010,14800000
Saint-Bruno-de-Montarville,2458037,1170000000
Saint-Calixte,2463055,189600000
Saint-Camille,2440025,15000000
Saint-Camille-de-Lellis,2428070,20000000
Saint-Casimir,2434078,40400000
Saint-Célestin,2450030,25000000
Saint-Célestin,2450035,18800000
Saint-Césaire,2455023,180000000
Saint-Charles,1308019,62000000
Saint-Charles-Borromée,2461035,466000000
Saint-Charles-de-Bellechasse,2419097,80800000
Saint-Charles-de-Bourget,2494260,24200000
Saint-Charles-sur-Richelieu,2457057,66400000
Saint-Christophe-d'Arthabaska,2439060,113600000
Saint-Chrysostome,2469017,72000000
Saint-Claude,2442100,37200000
Saint-Clément,2411005,13400000
Saint-Cléophas,2407090,9600000
Saint-Clet,2471045,52000000
Saint-Colomban,2475005,585000000
Saint-Côme,2462065,77400000
Saint-Côme--Linière,2429057,92800000
Saint-Constant,2467035,1030000000
Saint-Cuthbert,2452062,53000000
Saint-Cyprien,2412005,29400000
Saint-Cyprien,2428040,13200000
Saint-Cyprien-de-Napierville,2468035,54200000
Saint-Cyrille-de-Lessard,2417045,23200000
Saint-Cyrille-de-Wendover,2449070,146400000
Saint-Damase,2407105,11800000
Saint-Damase,2454017,81600000
Saint-Damase-de-L'Islet,2417040,16400000
Saint-Damien,2462075,77600000
Saint-Damien-de-Buckland,2419030,50400000
Saint-David,2453005,23000000
Saint-David-de-Falardeau,2494245,100800000
Saint-Denis-De La Bouteillerie,2414055,17200000
Saint-Denis-de-Brompton,2442025,186000000
Saint-Denis-sur-Richelieu,2457068,79200000
Saint-Didace,2452090,20000000
Saint-Dominique,2454060,88000000
Saint-Dominique-du-Rosaire,2488065,13200000
Saint-Donat,2409030,29200000
Saint-Donat,2462060,167200000
Sainte-Adèle,2477022,509000000
Sainte-Agathe-de-Lotbinière,2433017,29600000
Sainte-Agathe-des-Monts,2478032,345000000
Sainte-Angèle-de-Mérici,2409035,27000000
Sainte-Angèle-de-Monnoir,2455030,57200000
Sainte-Angèle-de-Prémont,2451055,15800000
Sainte-Anne,1313011,27800000
Sainte-Anne-de-Beaupré,2421030,88200000
Sainte-Anne-de-Bellevue,2466117,186400000
Sainte-Anne-de-la-Pérade,2437205,57200000
Sainte-Anne-de-la-Pocatière,2414090,52800000
Sainte-Anne-de-la-Rochelle,2442050,17200000
Sainte-Anne-de-Madawaska,1313012,22400000
Sainte-Anne-de-Sabrevois,2456060,69600000
Sainte-Anne-des-Lacs,2477035,186800000
Sainte-Anne-des-Monts,2404037,178800000
Sainte-Anne-de-Sorel,2453065,100800000
Sainte-Anne-des-Plaines,2473035,445000000
Sainte-Anne-du-Lac,2479115,14400000
Sainte-Apolline-de-Patton,2418025,11200000
Sainte-Aurélie,2428015,29200000
