CSDNAME,CSDUID,Aggregate after-tax income of households
Brant,3529005,1480000000
Brantford,3529006,3330000000
Bratt's Lake No. 129,4706013,16500000
Brazeau County,4811032,254800000
Brébeuf,2478075,32800000
Bredenbury,4705079,11200000
Brenda-Waskada,4605044,19600000
Breton,4811026,16400000
Bridgewater,1206004,252800000
Brigham,2446090,73600000
Bright,1310026,101800000
Brighton,1311011,43800000
Brighton,3514004,413000000
Brigus,1001446,22400000
Bristol,2484005,35200000
Britannia No. 502,4717028,79200000
Broadview,4705031,17200000
Brock,3518039,311500000
Brockton,3541032,356000000
Brockville,3507015,732000000
Brokenhead,4612054,178800000
Brokenhead 4,4613062,9600000
Brokenshell No. 68,4702051,8800000
Brome,2446070,10000000
Bromont,2446078,546000000
Brooke-Alvinston,3538015,75600000
Brooks,4802034,458000000
Brossard,2458007,3045000000
Browning No. 34,4701031,15400000
Brownsburg-Chatham,2476043,225600000
Bruce Mines,3557021,18800000
"Brudenell, Lyndoch and Raglan",3547020,43400000
Bruderheim,4810066,45600000
Bruno,4715012,17600000
Bryant's Cove,1001375,9200000
Bryson,2484025,18000000
Buchanan No. 304,4709049,11000000
Buchans,1006031,18200000
Buckland No. 491,4715094,126000000
Buena Vista,4706055,32500000
Buffalo Narrows,4718070,26800000
Buffalo No. 409,4713068,17200000
Buffalo River Dene Nation,4718818,21200000
Bulkley-Nechako A,5951051,208400000
Bulkley-Nechako B,5951028,59200000
Bulkley-Nechako C,5951015,50800000
Bulkley-Nechako D,5951017,57200000
Bulkley-Nechako E,5951031,46800000
Bulkley-Nechako F,5951019,115800000
Bulkley-Nechako G,5951053,27200000
Burgeo,1003028,32800000
Burin,1002005,73200000
Burk's Falls,3549022,28200000
Burlington,1008071,7600000
Burlington,3524002,8160000000
Burnaby,5915025,8960000000
Burns Lake,5951022,57600000
Burnt Islands,1003033,16400000
Burpee and Mills,3551028,12400000
Burrard Inlet 3,5915806,116400000
Burstall,4708062,12000000
Burton,1303011,166800000
Bury,2441070,32400000
Bushe River 207,4817848,11200000
Cabri,4708032,12600000
Cache Creek,5933024,27200000
Cacouna,2412057,58800000
Calder No. 241,4709001,10000000
Caledon,3521024,2975000000
Calgary,4806016,52700000000
Calixa-Lavallée,2459030,15000000
Callander,3549066,158800000
Calmar,4811019,76000000
Calvin,3548022,15600000
Cambria No. 6,4702001,10800000
Cambridge,1304011,16000000
Cambridge,3530010,4690000000
Cambridge Bay,6208073,69500000
Cambridge-Narrows,1304013,18800000
Campbell River,5924034,1238000000
Campbell River 11,5924804,13000000
Campbell's Bay,2484030,18400000
Campbellton,1008037,13400000
Campbellton,1314014,183600000
Campobello Island,1302004,27200000
Camrose,4810011,644000000
Camrose County,4810001,295500000
Cana No. 214,4705073,30200000
Canal Flats,5901043,26600000
Candiac,2467020,1006000000
Candle Lake,4715070,50800000
Canmore,4815023,772000000
Canning,1304021,35200000
Canoe Lake 165,4718817,15600000
Canora,4709032,58200000
Canterbury,1310011,17600000
Canterbury,1310012,9200000
Cantley,2482020,454000000
Canupawakpa Dakota First Nation (Oak Lake 59),4606029,4800000
Canwood,4716052,8600000
Canwood No. 494,4716051,43200000
Cap-Chat,2404047,68800000
Cape Breton,1217030,2785000000
Cape Broyle,1001126,18000000
Cape Dorset,6204007,32800000
Cape St. George,1004033,19200000
Capilano 5,5915808,86000000
Caplan,2405060,55800000
Cap-Pelé,1307007,73200000
Cap-Saint-Ignace,2418045,92400000
Cap-Santé,2434030,118600000
Caraquet,1315026,38000000
Caraquet,1315028,142400000
Carberry,4607068,56000000
Carbon,4805042,13000000
Carbonear,1001370,132000000
Carcross,6001048,12200000
Cardston,4803004,108000000
Cardston County,4803001,102000000
Cardwell,1305026,41200000
Cariboo A,5941019,213200000
Cariboo B,5941021,132400000
Cariboo C,5941026,40400000
Cariboo D,5941010,104400000
Cariboo E,5941012,153200000
Cariboo F,5941014,163200000
Cariboo G,5941015,174400000
Cariboo H,5941016,52400000
Cariboo I,5941027,45400000
Cariboo J,5941039,20800000
Cariboo K,5941041,12400000
Cariboo L,5941017,152400000
Carignan,2457010,482000000
Carleton,1308026,23600000
Carleton Place,3509028,447000000
Carleton-sur-Mer,2406013,128800000
Carling,3549036,63400000
Carlow/Mayo,3512065,30200000
Carlyle,4701056,55200000
Carmacks,6001012,21200000
Carman,4603074,106600000
Carmanville,1008011,18000000
Carnduff,4701008,34000000
Caroline,4809010,10600000
Caron No. 162,4707036,21200000
Caronport,4707037,25200000
Carrot River,4714069,33600000
Carrot River 29A,4714845,8000000
Carstairs,4806029,169600000
Cartier,4610043,76000000
"Cartwright, Labrador",1010012,14000000
Cartwright-Roblin,4604052,24600000
Cascapédia--Saint-Jules,2405077,23200000
Casey,3554029,10000000
Casselman,3502044,148400000
Castlegar,5903045,292500000
Castor,4807014,25000000
Cat Lake 63C,3560054,9200000
Causapscal,2407018,60800000
Cavan Monaghan,3515013,379000000
Cayamant,2483040,23800000
Central Butte,4707054,11800000
Central Coast C,5945010,21200000
Central Coast D,5945012,15800000
Central Elgin,3534020,540000000
Central Frontenac,3510035,156400000
Central Huron,3540025,259000000
Central Kings,1101027,11400000
Central Kootenay A,5903010,68800000
Central Kootenay B,5903013,138800000
Central Kootenay C,5903017,44800000
Central Kootenay D,5903039,44400000
Central Kootenay E,5903041,133600000
Central Kootenay F,5903043,156400000
Central Kootenay G,5903047,51200000
Central Kootenay H,5903052,150800000
Central Kootenay I,5903056,92800000
Central Kootenay J,5903058,135600000
Central Kootenay K,5903060,58600000
Central Manitoulin,3551006,70800000
Central Okanagan,5935012,164400000
Central Okanagan West,5935020,118800000
Central Prince,1103043,29200000
Central Saanich,5917015,742000000
Centre Hastings,3512026,144800000
Centre Wellington,3523025,1214000000
Centreville,1311019,14200000
Centreville-Wareham-Trinity,1007050,29000000
Chambly,2457005,1158000000
Chambord,2491020,55800000
Champion,4805004,11400000
Champlain,2437220,61400000
Champlain,3502010,314500000
Chandler,2402028,230000000
Channel-Port aux Basques,1003034,109200000
Chapais,2499020,45200000
Chapel Arm,1001289,16000000
Chapel Island 5,1216014,9200000
Chapleau,3552092,67600000
Chapple,3559024,28400000
Charette,2451080,31200000
Charlemagne,2460005,208800000
Charlo,1314004,50800000
Charlottetown,1102075,1196000000
Charlottetown (Labrador),1010013,9600000
Charlton and Dack,3554044,22800000
Chartierville,2441020,9800000
Chase,5933054,76400000
Châteauguay,2467050,1536000000
Château-Richer,2421035,139600000
Chatham,1309006,17600000
Chatham-Kent,3536020,3340000000
Chatsworth,3542037,216400000
