CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
Pic Mobert North,3558060,138,-29.9,61,54,1.67,82.5
Marathon,3558059,3138,-4.1,1602,1412,167.03,18.8
Terrace Bay,3558054,1528,-5.2,793,713,151.5,10.1
Schreiber,3558051,1039,-1.9,612,516,35.81,29
Nipigon,3558044,1473,-10.3,747,663,107.94,13.6
Red Rock,3558041,895,0,455,407,62.1,14.4
Dorion,3558034,375,18.7,176,160,211.25,1.8
Shuniah,3558028,3247,16,2088,1425,571.34,5.7
Conmee,3558019,798,-2.6,317,296,167.65,4.8
O'Connor,3558016,689,3.9,283,274,108.56,6.3
Gillies,3558012,441,-7,208,186,92.68,4.8
Oliver Paipoonge,3558011,6035,1.9,2390,2323,350.51,17.2
Thunder Bay,3558004,108843,0.9,50995,48405,327.77,332.1
Fort William 52,3558003,964,-1.7,391,361,58.5,16.5
Neebing,3558001,2241,9.1,1205,942,873.78,2.6
Hornepayne,3557096,968,-1.2,515,439,203.04,4.8
"Algoma, Unorganized, North Part",3557095,6050,5.4,5019,2773,43618.95,0.1
"Algoma, Unorganized, South East Part",3557094,5,,1,1,43.17,0.1
Obadjiwan 15E,3557092,,,,,0.71,
White River,3557091,557,-13.6,333,270,95.55,5.8
Dubreuilville,3557079,576,-6,284,248,87.53,6.6
Gros Cap 49,3557078,63,-18.2,38,35,34.12,1.8
Goulais Bay 15A,3557077,,,,,6.71,
Wawa,3557076,2705,-6.9,1377,1213,411.89,6.6
Rankin Location 15D,3557075,,,,,15.39,
Garden River 14,3557074,1071,-4.8,458,419,213.71,5
Mississagi River 8,3557073,414,0.7,176,173,18.26,22.7
Serpent River 7,3557072,351,-5.4,151,145,76.14,4.6
Sagamok,3557071,1110,-2.6,408,385,96.83,11.5
Prince,3557066,975,-3.5,462,394,84.98,11.5
Sault Ste. Marie,3557061,72051,-1.8,34818,32530,221.99,324.6
"Macdonald, Meredith and Aberdeen Additional",3557051,1513,-6,803,603,163.26,9.3
Elliot Lake,3557041,11372,5.9,6275,5839,696.06,16.3
The North Shore,3557040,531,6.8,365,249,230.17,2.3
Spanish,3557039,670,-5.9,392,322,106.9,6.3
Blind River,3557038,3422,-1.4,2207,1600,513.98,6.7
Huron Shores,3557035,1860,11.8,1171,834,451.87,4.1
Thessalon,3557028,1260,-2,600,559,4.38,287.5
Thessalon 12,3557026,151,21.8,71,59,9.57,15.8
Bruce Mines,3557021,582,0,293,263,6.09,95.6
Plummer Additional,3557019,757,14.7,519,328,219.24,3.5
Johnson,3557016,749,-0.3,422,272,119.47,6.3
Tarbutt and Tarbutt Additional,3557014,573,7.3,398,239,52.79,10.9
Laird,3557011,1121,7.1,560,470,103.25,10.9
St. Joseph,3557008,1426,15,909,612,127.65,11.2
Hilton Beach,3557006,198,15.8,134,98,2.52,78.6
Hilton,3557004,382,24.4,335,162,114.77,3.3
Jocelyn,3557001,314,0.3,360,175,130.43,2.4
Moosonee,3556106,1512,2.1,629,487,547.83,2.8
New Post 69A,3556102,128,36.2,38,35,1.29,99.5
Flying Post 73,3556100,0,,0,0,58.17,0
"Cochrane, Unorganized, South East Part",3556098,25,150,19,15,53.46,0.5
Moose Factory 68,3556096,0,,0,0,169.16,0
Constance Lake 92,3556095,741,25.6,242,228,25.69,28.8
Factory Island 1,3556094,1376,-11.8,462,398,3.25,423.7
Fort Albany (Part) 67,3556093,775,2.1,237,200,3.52,220.3
"Cochrane, Unorganized, North Part",3556092,2546,-11.1,1494,1035,130291.63,0
"Cochrane, Unorganized, South West Part",3556091,5,,38,4,552.18,0
Mattice-Val Côté,3556077,542,-16.4,260,241,412.81,1.3
Hearst,3556076,4794,-5.4,2373,2254,98.06,48.9
Opasatika,3556073,200,-11.5,110,101,327.09,0.6
Val Rita-Harty,3556070,757,-0.7,382,326,378.89,2
Kapuskasing,3556066,8057,-2.8,4134,3790,83.98,95.9
Moonbeam,3556056,1157,-6,759,524,234.46,4.9
Fauquier-Strickland,3556052,467,-12.9,278,227,1010.45,0.5
Smooth Rock Falls,3556048,1200,-9.8,650,582,199.73,6
Cochrane,3556042,5390,1.3,2540,2316,537.9,10
Abitibi 70,3556033,156,8.3,76,68,78.23,2
Iroquois Falls,3556031,4418,-2.6,2153,1977,599.03,7.4
Timmins,3556027,41145,-1.5,19390,17886,2955.33,13.9
Black River-Matheson,3556014,2572,5.5,1403,1078,1161.89,2.2
"Timiskaming, Unorganized, West Part",3554094,3210,-1.4,1934,1380,10199.8,0.3
"Timiskaming, Unorganized, East Part",3554091,5,0,38,4,248.55,0
Kirkland Lake,3554068,7750,-2.9,4353,3775,261.29,29.7
Gauthier,3554066,151,9.4,73,68,87.98,1.7
Larder Lake,3554062,745,2.1,440,352,227.62,3.3
McGarry,3554058,579,-4.9,333,289,85.62,6.8
Matachewan 72,3554057,66,8.2,35,29,33.09,2
Matachewan,3554056,268,19.1,202,134,539.56,0.5
Chamberlain,3554054,311,-6.3,145,132,110.81,2.8
Englehart,3554052,1442,-2.5,720,684,2.92,494.2
Evanturel,3554049,502,11.8,203,193,89.21,5.6
Charlton and Dack,3554044,686,0,280,261,92.74,7.4
James,3554042,348,-17.1,224,181,85.4,4.1
Thornloe,3554038,92,-17.9,53,48,6.59,14
Armstrong,3554036,1199,2.8,523,502,90.16,13.3
Hilliard,3554034,215,3.9,93,87,91.27,2.4
Brethour,3554032,105,-15.3,48,38,81.97,1.3
Casey,3554029,341,-7.3,140,127,80.8,4.2
Harley,3554026,524,-4.9,200,187,92.34,5.7
Kerns,3554024,330,-7.8,129,121,90.66,3.6
Hudson,3554021,530,5.4,325,213,90.28,5.9
Temiskaming Shores,3554020,9634,-2.9,4539,4263,176.67,54.5
Harris,3554014,530,-2.8,217,205,49.81,10.6
Cobalt,3554008,989,-12.3,542,454,2.07,478.5
Latchford,3554006,355,13.4,206,169,152.26,2.3
Coleman,3554001,517,-13.1,295,236,177.95,2.9
Wahnapitei 11,3553040,124,6.9,69,49,10.59,11.7
Greater Sudbury / Grand Sudbury,3553005,166004,2.8,75967,71476,3186.26,52.1
"Sudbury, Unorganized, North Part",3552093,2902,7.6,2837,1367,35377.17,0.1
Chapleau,3552092,1942,-1.1,973,867,13.2,147.1
Chapleau 75,3552058,0,,0,0,1.17,0
Chapleau Cree Fox Lake,3552056,62,31.9,34,28,9.25,6.7
Duck Lake 76B,3552054,154,81.2,64,51,1.86,82.9
Chapleau 74A,3552053,17,-19,13,8,7.61,2.2
Mattagami 71,3552052,210,10.5,89,81,46.43,4.5
Whitefish Lake 6,3552051,412,6.7,202,132,170.16,2.4
Point Grondine 3,3552037,5,,4,1,138.55,0
Killarney,3552036,397,2.8,443,193,1469.4,0.3
Nairn and Hyman,3552031,373,9.1,215,162,159.18,2.3
Baldwin,3552028,579,-4.3,326,238,82.49,7
Espanola,3552026,5185,2.7,2450,2304,81,64
Sables-Spanish Rivers,3552023,3237,1.5,1718,1386,801.04,4
Markstay-Warren,3552013,2708,2,1199,1109,505.92,5.4
St.-Charles,3552004,1357,6.9,788,621,314.46,4.3
French River / Rivière des Français,3552001,2828,6.2,2098,1367,717.91,3.9
Zhiibaahaasing 19A,3551100,41,-25.5,15,14,5.28,7.8
"Manitoulin, Unorganized, West Part",3551094,219,29.6,367,123,402.29,0.5
M'Chigeeng 22,3551045,926,4.8,543,404,32.99,28.1
Sheshegwaning 20,3551044,127,-7.3,69,59,20.06,6.3
Wikwemikong Unceded,3551043,2728,9.1,1130,1038,409.04,6.7
Sheguiandah 24,3551042,158,17.9,67,56,20.65,7.7
Sucker Creek 23,3551041,373,0.3,159,147,6.47,57.7
Whitefish River 4,3551040,457,0.2,270,180,39.73,11.5
Cockburn Island,3551034,16,,89,11,168.9,0.1
Burpee and Mills,3551028,382,11.4,292,167,217.33,1.8
Gordon/Barrie Island,3551027,613,25.1,621,294,263.44,2.3
Gore Bay,3551026,808,-6.8,421,382,5.14,157.2
Billings,3551021,753,24.9,675,343,208.81,3.6
Northeastern Manitoulin and the Islands,3551017,2641,-2.6,1903,1205,489.19,5.4
Assiginack,3551011,1008,-0.5,710,447,224.89,4.5
Central Manitoulin,3551006,2235,7.2,1603,1050,427.61,5.2
Tehkummah,3551001,450,3.2,368,224,131.7,3.4
"Parry Sound, Unorganized, Centre Part",3549096,2495,16.4,2703,1263,2587.29,1
"Parry Sound, Unorganized, North East Part",3549095,179,-4.3,81,73,183.04,1
Naiscoutaing 17A,3549093,0,,0,0,10.01,0
Magnetewan 1,3549078,102,1,52,45,44.41,2.3
Dokis 9,3549077,201,-41.6,145,97,150.19,1.3
French River 13,3549076,137,17.1,55,52,25.85,5.3
Henvey Inlet 2,3549075,15,200,7,7,84.54,0.2
Parry Island First Nation,3549073,367,15.8,310,135,71.31,5.1
Shawanaga 17,3549072,155,-20.5,79,73,32.25,4.8
Nipissing,3549071,1769,3.6,1012,746,387.95,4.6
Callander,3549066,3964,2.6,1758,1636,102.98,38.5
Powassan,3549060,3346,-3.2,1381,1317,223.26,15
South River,3549056,1101,-1.2,510,482,4.11,268
Machar,3549054,969,9.9,875,459,182.65,5.3
Joly,3549051,293,-3.6,155,127,193.95,1.5
Sundridge,3549048,938,-2.4,458,436,2.25,417.7
Strong,3549046,1566,8.8,953,660,158.88,9.9
Magnetawan,3549043,1753,26.1,1717,825,526.31,3.3
Whitestone,3549039,1075,17.4,1427,549,923.7,1.2
Carling,3549036,1491,32.5,1761,697,244.32,6.1
Parry Sound,3549032,6879,7.4,3518,3197,13.1,524.9
McDougall,3549031,2744,1.6,1673,1154,264.02,10.4
McKellar,3549028,1419,27.7,1515,695,176.07,8.1
Ryerson,3549024,745,15,555,344,185.93,4
Burk's Falls,3549022,957,-2.4,523,465,3.09,310
Armour,3549019,1459,3.2,1087,667,163.52,8.9
Kearney,3549018,974,10.4,1195,460,528.21,1.8
Perry,3549014,2650,8,1710,1144,186.34,14.2
McMurrich/Monteith,3549012,907,10.1,735,410,275.26,3.3
The Archipelago,3549005,979,84.4,2863,497,592.14,1.7
Seguin,3549003,5280,22.7,4827,2136,586.99,9
"Nipissing, Unorganized, North Part",3548094,1591,-10.8,955,729,3721.2,0.4
"Nipissing, Unorganized, South Part",3548091,102,-1,337,46,6711.51,0
Nipissing 10,3548073,1640,3,773,705,60.87,26.9
Bear Island 1,3548072,244,59.5,103,84,2.88,84.7
Temagami,3548069,862,7.5,928,432,1878.12,0.5
West Nipissing / Nipissing Ouest,3548055,14583,1.5,7252,6413,1956.27,7.5
North Bay,3548044,52662,2.2,25077,23467,315.53,166.9
East Ferris,3548034,4946,1.7,2172,1890,151.94,32.6
Chisholm,3548031,1312,1.6,614,508,205.77,6.4
Bonfield,3548027,2146,7.8,1080,889,206.22,10.4
Calvin,3548022,557,7.9,263,227,140.13,4
Mattawa,3548021,1881,-5.6,929,857,3.67,513.1
Mattawan,3548019,153,-5,102,71,200.12,0.8
Papineau-Cameron,3548013,982,-3.3,495,407,564.23,1.7
South Algonquin,3548001,1055,-3.7,894,527,867.73,1.2
"Head, Clara and Maria",3547098,267,7.7,133,116,719.2,0.4
Deep River,3547096,4175,1.6,1981,1866,50.27,83
Laurentian Hills,3547090,2885,-2.6,1393,1251,634.31,4.5
Petawawa,3547076,18160,5.7,7174,6762,164.7,110.3
Laurentian Valley,3547075,9450,0.7,3877,3715,539.08,17.5
North Algona Wilberforce,3547070,3111,6.7,1757,1297,369.23,8.4
Pembroke,3547064,14364,3.5,6888,6542,14.32,1002.8
Whitewater Region,3547056,7225,3.1,3470,2909,535.48,13.5
Renfrew,3547048,8190,-0.4,4117,3954,12.81,639.3
Horton,3547046,3182,10.2,1486,1290,158.02,20.1
Admaston/Bromley,3547043,2995,2,1305,1136,519.59,5.8
Pikwakanagan (Golden Lake 39),3547037,490,11.4,191,184,7.38,66.4
Bonnechere Valley,3547035,3898,6.1,2320,1739,588.36,6.6
"Killaloe, Hagarty and Richards",3547033,2410,-0.4,1559,1097,391.6,6.2
Madawaska Valley,3547030,3927,-4.8,2541,1713,665.83,5.9
"Brudenell, Lyndoch and Raglan",3547020,1552,3.3,998,694,701.29,2.2
Greater Madawaska,3547008,2864,13.7,2251,1343,1018.15,2.8
McNab/Braeside,3547003,7591,5.8,3235,3036,255.28,29.7
Arnprior,3547002,9629,9.5,4458,4308,13.04,738.5
Dysart et al,3546024,7182,14.4,7298,3341,1474.22,4.9
Algonquin Highlands,3546018,2588,10.1,3325,1269,999.69,2.6
Minden Hills,3546015,6971,14.5,6019,3229,847.37,8.2
Highlands East,3546005,3830,14.6,4430,1875,688.18,5.6
Moose Point 79,3544073,213,2.4,80,76,3.14,67.9
Wahta Mohawk Territory,3544071,,,,,59.66,
Georgian Bay,3544065,3441,36.9,5175,1660,525.29,6.6
Muskoka Lakes,3544053,7652,16.2,9443,3529,774.46,9.9
Huntsville,3544042,21147,6.7,11214,8817,705.18,30
Lake of Bays,3544027,3759,18.7,4324,1760,667.43,5.6
Bracebridge,3544018,17305,8.1,9053,7233,615.2,28.1
Gravenhurst,3544002,13157,6.9,8271,5496,489.11,26.9
Midland,3543074,17817,5.7,8295,7849,35.33,504.3
Penetanguishene,3543072,10077,12.4,4357,3976,25.42,396.4
Tay,3543071,11091,10.5,5301,4535,137.86,80.5
Christian Island 30A,3543070,30,-28.6,14,13,0.07,424.3
Christian Island 30,3543069,679,10.6,524,221,51.91,13.1
Tiny,3543068,12966,10,9699,5434,335.05,38.7
Wasaga Beach,3543064,24862,20.3,13768,10811,57.42,433
Orillia,3543052,33411,7.2,15428,14422,28.53,1171.1
Chippewas of Rama First Nation,3543050,998,13.7,408,377,11.15,89.5
Barrie,3543042,147829,4.5,57276,55316,99.01,1493.1
Collingwood,3543031,24811,13.8,13216,11174,33.15,748.3
Oro-Medonte,3543023,23017,9.4,9510,8636,585.42,39.3
Essa,3543021,22970,9,8232,7949,279.92,82.1
Ramara,3543019,10377,9.4,6166,4408,414.94,25
Innisfil,3543017,43326,18.5,17528,15708,262.39,165.1
Severn,3543015,14576,8.3,7073,5804,523.06,27.9
Bradford West Gwillimbury,3543014,42880,21.4,13907,13415,200.68,213.7
Springwater,3543009,21701,13.9,7845,7516,535.85,40.5
New Tecumseth,3543007,43948,28.3,16249,15854,273.87,160.5
Clearview,3543005,14814,4.7,6296,5570,556.37,26.6
Adjala-Tosorontio,3543003,10989,0.1,3995,3836,371.53,29.6
Owen Sound,3542059,21612,1.3,10406,9895,24.21,892.6
Georgian Bluffs,3542053,11100,5.9,5269,4495,599.96,18.5
Meaford,3542047,11485,4.5,5828,5035,587.57,19.5
The Blue Mountains,3542045,9390,33.7,7396,4348,284.65,33
Chatsworth,3542037,7080,6.8,3094,2699,594.44,11.9
Hanover,3542029,7967,3.6,3788,3445,9.78,814.6
Grey Highlands,3542015,10424,6.3,5337,4091,879.03,11.9
Southgate,3542005,8716,18.5,3257,3017,643.08,13.6
West Grey,3542004,13131,4.9,5808,5284,875.21,15
Northern Bruce Peninsula,3541069,4404,10.1,5101,2206,775.7,5.7
Neyaashiinigmiing 27,3541060,580,-5.7,296,248,63.76,9.1
Saugeen 29,3541057,784,-24.7,1389,318,41.42,18.9
Chief's Point No. 28,3541056,15,,93,7,5.76,2.6
South Bruce Peninsula,3541055,9137,8.6,7093,4148,530.61,17.2
Saugeen Shores,3541045,15908,16,8548,6905,170.19,93.5
Arran-Elderslie,3541043,6913,1.6,2998,2782,458.76,15.1
Brockton,3541032,9784,3.4,4406,4032,564.64,17.3
Kincardine,3541024,12268,7.7,6142,5160,537.8,22.8
Huron-Kinloss,3541015,7723,9.3,4107,3026,440.73,17.5
South Bruce,3541004,5880,4.3,2419,2280,486.86,12.1
Ashfield-Colborne-Wawanosh,3540063,5884,8.5,3149,2357,586.88,10
North Huron,3540055,5052,2.4,2277,2157,179.01,28.2
Morris-Turnberry,3540050,3590,2.7,1283,1195,376.89,9.5
Howick,3540046,4045,4.4,1414,1343,286.55,14.1
Huron East,3540040,9512,4.1,3912,3707,669.15,14.2
Goderich,3540028,7881,3.3,3899,3667,8.54,923.1
Central Huron,3540025,7799,2.9,3917,3267,449.43,17.4
Bluewater,3540010,7540,5.7,4882,3302,416.7,18.1
South Huron,3540005,10063,-0.3,4722,4339,425.12,23.7
Lucan Biddulph,3539060,5680,20.9,2172,2115,169.08,33.6
Adelaide-Metcalfe,3539047,3011,0.7,1056,1013,331.11,9.1
North Middlesex,3539041,6307,-0.7,2481,2391,598.65,10.5
London,3539036,422324,10,186409,174657,420.5,1004.3
Middlesex Centre,3539033,18928,9.7,6845,6695,588.16,32.2
Thames Centre,3539027,13980,6,5316,5186,433.99,32.2
Oneida 41,3539021,,,,,22.14,
Munsee-Delaware Nation 1,3539018,129,-15.7,64,53,11.19,11.5
Chippewas of the Thames First Nation 42,3539017,,,,,42.49,
Strathroy-Caradoc,3539015,23871,14.4,9695,9453,270.86,88.1
Southwest Middlesex,3539005,5893,3,2503,2407,427.82,13.8
Newbury,3539002,440,-5.6,195,187,1.77,248.6
Kettle Point 44,3538056,1233,22,775,512,9.32,132.3
Warwick,3538043,3641,-1.4,1425,1357,290.21,12.5
Lambton Shores,3538040,11876,11.7,7211,5303,330.57,35.9
Plympton-Wyoming,3538035,8308,6.6,3513,3172,318.86,26.1
Point Edward,3538031,1930,-5.3,989,938,3.3,585
Sarnia,3538030,72047,0.6,33902,32188,163.9,439.6
Sarnia 45,3538025,648,1.4,278,262,12.58,51.5
Petrolia,3538019,6013,4.7,2524,2460,12.46,482.6
Oil Springs,3538018,647,-0.2,283,267,8.14,79.5
Enniskillen,3538016,2825,1,1087,1041,338.05,8.4
Brooke-Alvinston,3538015,2359,-2.2,983,918,311.41,7.6
Dawn-Euphemia,3538007,1968,0.1,824,766,445.14,4.4
Walpole Island 46,3538004,,,,,137.43,
St. Clair,3538003,14659,4.1,6528,6021,618.57,23.7
Lakeshore,3537064,40410,10.4,14954,14386,529,76.4
Tecumseh,3537048,23300,0.3,9111,8946,94.59,246.3
Windsor,3537039,229660,5.7,99803,94273,146.02,1572.8
LaSalle,3537034,32721,8.4,11922,11644,64.96,503.7
Amherstburg,3537028,23524,7.2,9548,9193,183.76,128
Essex,3537016,21216,3.9,8880,8391,277.53,76.4
Kingsville,3537013,22119,2.6,8635,8285,246.08,89.9
Leamington,3537003,29680,7.6,11219,10547,261.24,113.6
Pelee,3537001,230,-2.1,374,122,41.03,5.6
Moravian 47,3536029,328,-17,169,150,12.62,26
Chatham-Kent,3536020,103988,2.3,46752,44028,2451.9,42.4
West Elgin,3534042,5060,1.3,2221,2103,322.09,15.7
Dutton/Dunwich,3534030,4152,7.4,1677,1596,294.38,14.1
Southwold,3534024,4851,9.7,1760,1713,301.38,16.1
St. Thomas,3534021,42840,10.1,18596,18062,35.61,1203.2
Central Elgin,3534020,13746,9,5845,5460,279.87,49.1
Aylmer,3534011,7699,2.8,3177,3067,6.37,1208.6
Malahide,3534010,9308,0.2,3178,3013,394.27,23.6
Bayham,3534005,7096,-4.1,2435,2264,244.6,29
Blandford-Blenheim,3532045,7565,2.2,2857,2779,382.03,19.8
Woodstock,3532042,46705,13.6,19528,18886,56.46,827.2
East Zorra-Tavistock,3532038,7841,10.2,3055,2976,241.96,32.4
Zorra,3532027,8628,6,3284,3162,529.19,16.3
Ingersoll,3532018,13693,7.3,5627,5467,12.73,1075.3
South-West Oxford,3532012,7583,-0.7,2708,2616,369.61,20.5
Tillsonburg,3532004,18615,17.3,8494,8229,22.2,838.6
Norwich,3532002,11151,2.9,3892,3761,424.01,26.3
North Perth,3531040,15538,18.3,6171,5959,493.09,31.5
Perth East,3531030,12595,2.6,4266,4112,711.93,17.7
West Perth,3531025,9038,2,3567,3434,578.88,15.6
St. Marys,3531016,7386,1.7,3216,3128,12.44,593.8
Perth South,3531013,3776,-0.8,1454,1396,391.88,9.6
Stratford,3531011,33232,5.6,15388,14743,30.02,1107
Woolwich,3530035,26999,8,9556,9359,326.56,82.7
Wellesley,3530027,11318,0.5,3444,3366,277.74,40.8
Wilmot,3530020,21429,4.3,8035,7891,263.81,81.2
Waterloo,3530016,121436,15.7,52049,47040,64.06,1895.8
Kitchener,3530013,256885,10.1,103388,99812,136.81,1877.6
Cambridge,3530010,138479,6.6,53013,51269,112.99,1225.5
North Dumfries,3530004,10619,4,3768,3689,188.09,56.5
New Credit (Part) 40A,3529021,609,0.7,203,199,20.1,30.3
Six Nations (Part) 40,3529020,,,,,157.7,
Brantford,3529006,104688,6.2,43269,41673,98.65,1061.2
Brant,3529005,39474,10.8,14778,14330,817.66,48.3
Norfolk County,3528052,67490,5.4,30085,27594,1597.68,42.2
Six Nations (Part) 40,3528037,,,,,30.59,
New Credit (Part) 40A,3528035,166,23,58,52,5.08,32.7
Haldimand County,3528018,49216,7.9,20710,18719,1250.45,39.4
Grimsby,3526065,28883,5.7,11626,11395,68.71,420.4
Lincoln,3526057,25719,8.1,9826,9555,162.74,158
St. Catharines,3526053,136803,2.8,61977,58903,96.2,1422.1
Niagara-on-the-Lake,3526047,19088,9,8578,7857,131.35,145.3
Niagara Falls,3526043,94415,7.2,39778,37793,210.25,449.1
Thorold,3526037,23816,26.7,9856,9095,83.29,285.9
Welland,3526032,55750,6.6,24530,23656,81.16,686.9
Pelham,3526028,18192,6.3,7123,6959,126.35,144
West Lincoln,3526021,15454,6.6,5422,5295,387.02,39.9
Wainfleet,3526014,6887,8.1,3116,2615,217.53,31.7
Port Colborne,3526011,20033,9.4,10219,8710,121.99,164.2
Fort Erie,3526003,32901,7.1,15875,14081,166.24,197.9
Hamilton,3525005,569353,6,233564,222807,1118.31,509.1
Halton Hills,3524015,62951,2.9,22252,21825,276.81,227.4
Milton,3524009,132979,20.7,41000,40038,363.83,365.5
Burlington,3524002,186948,2,74891,73180,186.12,1004.4
Oakville,3524001,213759,10.3,76179,73558,138.94,1538.5
Wellington North,3523050,12431,4.3,4987,4793,526.31,23.6
Minto,3523043,9094,4.9,3885,3417,300.19,30.3
Mapleton,3523033,10839,3,3633,3245,535.56,20.2
Centre Wellington,3523025,31093,10.3,12701,11972,409.41,75.9
Erin,3523017,11981,4.7,4396,4220,298.81,40.1
Guelph/Eramosa,3523009,13904,8.2,4993,4838,292.84,47.5
Guelph,3523008,143740,9.1,59746,56480,87.43,1644.1
Puslinch,3523001,7944,8.3,2946,2857,214.82,37
Shelburne,3522021,8994,10.7,3150,3025,6.56,1370.8
Melancthon,3522019,3132,4.1,1104,1035,310.39,10.1
Mulmur,3522016,3571,2.7,1682,1388,286.17,12.5
Orangeville,3522014,30167,4.4,11308,11059,15.16,1989.5
Mono,3522012,9421,9.4,3327,3131,278.37,33.8
Grand Valley,3522010,3851,30.3,1445,1397,158.6,24.3
Amaranth,3522008,4327,6.1,1428,1372,265.02,16.3
East Garafraxa,3522001,2794,8.3,944,903,166.5,16.8
Caledon,3521024,76581,15.2,24795,23699,688.82,111.2
Brampton,3521010,656480,10.6,189086,182472,265.89,2469
Mississauga,3521005,717961,-0.5,254089,244575,292.74,2452.5
Toronto,3520005,2794356,2.3,1253238,1160892,631.1,4427.8
Chippewas of Georgina Island First Nation,3519076,231,-11.5,550,112,14.47,16
Georgina,3519070,47642,4.9,19368,17895,287.69,165.6
East Gwillimbury,3519054,34637,44.4,11869,11449,244.91,141.4
King,3519049,27333,11.5,9346,8969,332.12,82.3
Newmarket,3519048,87942,4.4,31239,30301,38.5,2284.1
Aurora,3519046,62057,11.9,22253,21506,50,1241.1
Whitchurch-Stouffville,3519044,49864,8.8,17154,16707,206.42,241.6
Richmond Hill,3519038,202022,3.6,72017,69314,100.79,2004.4
Markham,3519036,338503,2.9,114908,110867,210.93,1604.8
Vaughan,3519028,323103,5.5,107159,103914,272.44,1185.9
Brock,3518039,12567,7.9,5297,4788,422.64,29.7
Uxbridge,3518029,21556,1.8,8310,8008,420.52,51.3
Mississaugas of Scugog Island,3518022,125,-4.6,51,49,2.57,48.6
Scugog,3518020,21581,-0.2,8734,8243,474.38,45.5
Clarington,3518017,101427,10.2,36852,35953,610.84,166
Oshawa,3518013,175383,10,69324,66634,145.72,1203.6
Whitby,3518009,138501,7.9,47389,46460,146.69,944.1
Ajax,3518005,126666,5.8,40275,39488,66.64,1900.6
Pickering,3518001,99186,8.1,34327,33425,231.1,429.2
Kawartha Lakes,3516010,79247,5.1,38947,32708,3033.66,26.1
Trent Lakes,3515044,6439,19.3,5750,2952,833.72,7.7
North Kawartha,3515037,2877,16.1,3693,1364,746.35,3.9
Havelock-Belmont-Methuen,3515030,5083,12.2,3856,2234,529.35,9.6
Douro-Dummer,3515023,7632,13.8,3601,2925,459.46,16.6
Curve Lake First Nation 35,3515019,1244,17.5,650,543,6.64,187.4
Selwyn,3515015,18653,9.3,8540,7483,316.12,59
Peterborough,3515014,83651,3.2,38006,35977,64.76,1291.8
Cavan Monaghan,3515013,10016,13.4,3704,3553,306.39,32.7
Hiawatha First Nation,3515008,341,-5.8,210,157,8.93,38.2
Otonabee-South Monaghan,3515005,7087,6.3,3050,2732,346.15,20.5
Asphodel-Norwood,3515003,4658,13.4,1985,1821,161.62,28.8
Trent Hills,3514045,13861,7.4,7057,5903,513.85,27
Alderville First Nation,3514027,542,9.5,282,252,12.59,43
Alnwick/Haldimand,3514024,7473,8.8,3323,2823,398.25,18.8
Cobourg,3514021,20519,5.6,9520,9134,22.41,915.7
Port Hope,3514020,17294,3.2,7607,7318,278.8,62
Hamilton,3514019,11059,1.1,4685,4281,256.03,43.2
Cramahe,3514014,6509,2.4,2772,2603,202.22,32.2
Brighton,3514004,12108,2.2,5392,5014,223.24,54.2
Prince Edward County,3513020,25704,3.9,13557,11332,1052.61,24.4
Hastings Highlands,3512076,4385,7.5,3529,2007,966.58,4.5
Carlow/Mayo,3512065,953,10.3,663,416,385.32,2.5
Bancroft,3512061,4065,4.7,2007,1801,227.54,17.9
Faraday,3512058,1612,15.1,1290,755,217.44,7.4
Wollaston,3512054,721,7.6,757,352,215.87,3.3
Limerick,3512051,436,26,533,206,201.04,2.2
Tudor and Cashel,3512048,740,26.3,758,352,433.31,1.7
Marmora and Lake,3512046,4267,7.9,2578,1887,538.24,7.9
Madoc,3512036,2233,7.5,934,868,274.58,8.1
Tweed,3512030,6067,0.4,3042,2591,918.61,6.6
Centre Hastings,3512026,4801,0.6,2180,1939,222.79,21.5
Stirling-Rawdon,3512020,5015,2.7,2074,1971,282.48,17.8
Quinte West,3512015,46560,6.8,19888,19056,495.45,94
Belleville,3512005,55071,8.6,24582,23536,247.15,222.8
Tyendinaga Mohawk Territory,3512004,2535,-2.3,1170,1031,72.02,35.2
Deseronto,3512002,1747,-1.5,803,723,2.52,693.5
Tyendinaga,3512001,4538,7.4,1730,1650,312.42,14.5
Addington Highlands,3511035,2534,9.3,2052,1122,1293.99,2
Stone Mills,3511030,7826,1.6,3436,3071,693.71,11.3
Greater Napanee,3511015,16879,6.2,7461,6868,462.3,36.5
Loyalist,3511005,17943,5.7,7145,6830,342.72,52.4
North Frontenac,3510045,2285,20.1,2798,1131,1157.97,2
Central Frontenac,3510035,4892,11.9,3618,2177,991.41,4.9
South Frontenac,3510020,20188,8.3,9503,7937,948.05,21.3
Kingston,3510010,132485,7,63095,57836,451.58,293.4
Frontenac Islands,3510005,1930,9.7,1212,903,176.82,10.9
Lanark Highlands,3509039,5737,7.5,3409,2494,1031.52,5.6
Mississippi Mills,3509030,14740,12,6241,6043,511.25,28.8
Carleton Place,3509028,12517,17.6,5341,5210,9.94,1259.4
Beckwith,3509024,9021,18,3523,3371,239.31,37.7
Perth,3509021,6469,9.1,3395,3271,12.21,529.8
Tay Valley,3509015,5925,4.6,3750,2419,528.67,11.2
