REF_DATE,GEO,DGUID,CDUID,Display value,Statement of operations and balance sheet,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Nonfinancial assets [61],Dollars,81,thousands,3,v1571493370,109.1.29,7399894,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Net financial worth,Dollars,81,thousands,3,v1571493371,109.1.30,737955,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Financial assets [62],Dollars,81,thousands,3,v1571493372,109.1.31,3477284,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Currency and deposits, assets [6212, 6222]",Dollars,81,thousands,3,v1571493373,109.1.32,1141886,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Net acquisition of financial assets [6213,6223,6214,6224,6215,6225, 6217, 6227]",Dollars,81,thousands,3,v1571493374,109.1.33,2066044,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Insurance and pension, assets [6216, 6226]",Dollars,81,thousands,3,v1571493375,109.1.34,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Other accounts receivable [6218, 6228]",Dollars,81,thousands,3,v1571493376,109.1.35,269354,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Other assets [624],Dollars,81,thousands,3,v1571493377,109.1.36,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Liabilities [63],Dollars,81,thousands,3,v1571493378,109.1.37,2739329,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Currency and deposits, liabilities [6312, 6322]",Dollars,81,thousands,3,v1571493379,109.1.38,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Loans and Debt Securities, liabilities [6313,6323,6314,6324,6315,6325]",Dollars,81,thousands,3,v1571493380,109.1.39,1070839,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Insurance, pension and standardized guarantee schemes, liabilities [6316, 6326]",Dollars,81,thousands,3,v1571493381,109.1.40,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Other accounts payable [6318, 6328]",Dollars,81,thousands,3,v1571493382,109.1.41,1668490,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Other liabilities [634],Dollars,81,thousands,3,v1571493383,109.1.42,0,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Gross operating balance,Dollars,81,thousands,3,v1571493216,106.1.1,1435619,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Net operating balance,Dollars,81,thousands,3,v1571493217,106.1.2,844452,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Revenue [1],Dollars,81,thousands,3,v1571493218,106.1.3,3855690,,,,0
2020,"Edmonton (CY), Alberta",2016A00054811061,,Stocks,Taxes [11],Dollars,81,thousands,3,v1571493219,106.1.4,2158448,,,,0
