CSDUID,CSDNAME,length_km
4802029,Vauxhall,19.421762258174915
4802034,Brooks,113.67512591069884
4802036,Duchess,9.945393465643372
4803002,Magrath,37.647730427755384
4803004,Cardston,48.07499740212392
4803026,Nanton,32.88827170383584
4805018,Strathmore,118.14882698712654
4805048,Three Hills,37.233669709921756
4806006,High River,112.19728002610671
4806011,Diamond Valley,58.889078580226304
4806012,Okotoks,214.7809946403244
4806016,Calgary,7184.523436186291
4806017,Chestermere,152.61030121154155
4806019,Cochrane,191.28716064801836
4806021,Airdrie,427.34386510693656
4806029,Carstairs,46.29059177463397
4806034,Olds,75.08407943711532
4807002,Provost,33.28727614074578
4807026,Stettler,72.26593335304588
4807054,Wainwright,68.43961923075896
4808008,Innisfail,81.42727932652662
4808011,Red Deer,701.4238887681199
4808012,Sylvan Lake,122.8127036043416
4808024,Eckville,13.859388792643019
4808026,Bentley,14.65069667246268
4808029,Blackfalds,82.1715638419883
4808031,Lacombe,111.04687865892798
4808039,Ponoka,87.10018256168976
4809015,Rocky Mountain House,69.86381061576643
4810011,Camrose,189.24524278949534
4810028,Vegreville,75.63343349987491
4810039,Lloydminster,244.050047661302
4810052,Two Hills,21.269187505638264
4811002,Wetaskiwin,114.00912265852072
4811013,Beaumont,111.41640665511763
4811016,Leduc,239.4630767698096
4811018,Devon,56.457734420930876
4811019,Calmar,21.128644030130754
4811048,Stony Plain,139.24250537398768
4811049,Spruce Grove,241.8711646159513
4811056,Fort Saskatchewan,209.854878082911
4811061,Edmonton,5292.440047360292
4811062,St. Albert,398.4981900779841
4811068,Morinville,63.32062887877601
4812009,Bonnyville,73.8531601634169
4812018,St. Paul,60.96521145126936
4813019,Barrhead,44.31447684331726
4815035,Banff,41.45588238273626
4817029,Slave Lake,67.10086709386977
4819009,Beaverlodge,34.62360153731732
4819012,Grande Prairie,546.2869769612137
5901012,Fernie,81.75821511685086
5901022,Cranbrook,194.38088584845812
5903004,Creston,56.6229282262297
5903011,Salmo,18.31548161195121
5903015,Nelson,98.61013937380562
5903045,Castlegar,113.86461293596766
5905005,Fruitvale,19.94822994350235
5905009,Montrose,11.804605698624378
5905018,Warfield,21.543373871876607
5907005,Osoyoos,56.395360608409895
5907009,Keremeos,23.311718929903407
5907014,Oliver,50.04995941530137
5907041,Penticton,232.12339850150454
5909052,Abbotsford,1126.4157078183964
5915001,Langley,1010.9931996093052
5915002,Langley,101.30779445231164
5915004,Surrey,2151.5017404088226
5915007,White Rock,72.08460503458188
5915011,Delta,757.5650168626826
5915015,Richmond,775.5606701978493
5915022,Vancouver,1569.0741124471617
5915025,Burnaby,807.1134396542209
5915029,New Westminster,213.54515544780062
5915034,Coquitlam,591.4205057590552
5915039,Port Coquitlam,234.92693577434045
5915043,Port Moody,138.11552450655188
5915046,North Vancouver,423.7815065137542
5915051,North Vancouver,145.7950195676572
5915055,West Vancouver,353.44880425399026
5915065,Lions Bay,18.20062653634839
5917010,Sidney,59.46295057881914
5917015,Central Saanich,167.39885082135308
5917021,Saanich,657.6574678364644
5917030,Oak Bay,100.44099624913387
5917034,Victoria,269.87770148423004
5917040,Esquimalt,64.35041493689792
5917041,Colwood,128.31482293544644
5917044,Langford,251.27416049641946
